design_id,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,design_role
reactor_0138,750,10,5,1.4,0.5,0.5,0.0,primary_map
reactor_0139,750,10,10,0.8,0.3,0.5,0.0,primary_map
reactor_0140,750,10,10,0.8,0.7,0.5,0.0,primary_map
reactor_0141,750,10,10,1.4,0.5,0.5,0.0,primary_map
reactor_0142,750,10,20,0.8,0.3,0.5,0.0,primary_map
reactor_0143,750,10,20,0.8,0.7,0.5,0.0,primary_map
reactor_0144,750,10,20,1.4,0.5,0.5,0.0,primary_map
reactor_0145,750,20,5,0.8,0.3,0.5,0.0,primary_map
reactor_0146,750,20,5,0.8,0.7,0.5,0.0,primary_map
reactor_0147,750,20,5,1.4,0.5,0.5,0.0,primary_map
reactor_0148,750,20,10,0.8,0.3,0.5,0.0,primary_map
reactor_0149,750,20,10,0.8,0.7,0.5,0.0,primary_map
reactor_0150,750,20,10,1.4,0.5,0.5,0.0,primary_map
reactor_0151,750,20,20,0.8,0.3,0.5,0.0,primary_map
reactor_0152,750,20,20,0.8,0.7,0.5,0.0,primary_map
reactor_0153,750,20,20,1.4,0.5,0.5,0.0,primary_map
reactor_0154,750,5,5,1.0,0.5,0.5,0.0,primary_map
reactor_0155,750,5,5,1.2,0.3,0.5,0.0,primary_map
reactor_0156,750,5,5,1.2,0.7,0.5,0.0,primary_map
reactor_0157,750,5,10,1.0,0.5,0.5,0.0,primary_map
reactor_0158,750,5,10,1.2,0.3,0.5,0.0,primary_map
reactor_0159,750,5,10,1.2,0.7,0.5,0.0,primary_map
reactor_0160,750,5,20,1.0,0.5,0.5,0.0,primary_map
reactor_0161,600,5,5,0.7,0.1,0.5,0.0,thermal_residence_sensitivity
reactor_0162,600,5,5,0.7,0.1,0.5,0.5,thermal_residence_sensitivity
reactor_0163,600,5,5,0.7,0.1,0.5,2.0,thermal_residence_sensitivity
reactor_0164,600,5,20,0.7,0.1,0.5,0.0,thermal_residence_sensitivity
reactor_0165,600,5,20,0.7,0.1,0.5,0.5,thermal_residence_sensitivity
reactor_0166,600,5,20,0.7,0.1,0.5,2.0,thermal_residence_sensitivity
reactor_0167,600,20,5,0.7,0.1,0.5,0.0,thermal_residence_sensitivity
reactor_0168,600,20,5,0.7,0.1,0.5,0.5,thermal_residence_sensitivity
reactor_0169,600,20,5,0.7,0.1,0.5,2.0,thermal_residence_sensitivity
reactor_0170,600,20,20,0.7,0.1,0.5,0.0,thermal_residence_sensitivity
reactor_0171,600,20,20,0.7,0.1,0.5,0.5,thermal_residence_sensitivity
reactor_0172,600,20,20,0.7,0.1,0.5,2.0,thermal_residence_sensitivity
reactor_0173,750,5,5,0.7,0.1,0.5,0.0,thermal_residence_sensitivity
reactor_0174,750,5,5,0.7,0.1,0.5,0.5,thermal_residence_sensitivity
reactor_0175,750,5,5,0.7,0.1,0.5,2.0,thermal_residence_sensitivity
reactor_0176,750,5,20,0.7,0.1,0.5,0.0,thermal_residence_sensitivity
reactor_0177,750,5,20,0.7,0.1,0.5,0.5,thermal_residence_sensitivity
reactor_0178,750,5,20,0.7,0.1,0.5,2.0,thermal_residence_sensitivity
reactor_0179,750,20,5,0.7,0.1,0.5,0.0,thermal_residence_sensitivity
reactor_0180,750,20,5,0.7,0.1,0.5,0.5,thermal_residence_sensitivity
reactor_0181,750,20,5,0.7,0.1,0.5,2.0,thermal_residence_sensitivity
reactor_0182,750,20,20,0.7,0.1,0.5,0.0,thermal_residence_sensitivity
