source_file,status,rows,error,file_doi,rkd_format_version,record_version,first_publication_date,last_modification_date
x20101010.xml,parsed,13,,10.24388/x20101010,2.4,2.0,2023-03-13,2023-03-13
x20101011.xml,parsed,19,,10.24388/x20101011,2.4,2.0,2023-03-13,2023-03-13
x20101012.xml,parsed,19,,10.24388/x20101012,2.4,2.0,2023-03-13,2023-03-13
x20101013.xml,parsed,6,,10.24388/x20101013,2.4,2.0,2023-03-13,2023-03-13
x20101014.xml,parsed,5,,10.24388/x20101014,2.4,2.0,2023-03-13,2023-03-13
x20101015.xml,parsed,5,,10.24388/x20101015,2.4,2.0,2023-03-13,2023-03-13
x20101016.xml,parsed,9,,10.24388/x20101016,2.4,2.0,2023-03-13,2023-03-13
x20101017.xml,parsed,9,,10.24388/x20101017,2.4,2.0,2023-03-13,2023-03-13
x20101018.xml,parsed,7,,10.24388/x20101018,2.4,2.0,2023-03-13,2023-03-13
x20101019.xml,parsed,4,,10.24388/x20101019,2.4,2.0,2023-03-13,2023-03-13
x20101020.xml,parsed,9,,10.24388/x20101020,2.4,2.0,2023-03-13,2023-03-13
x20101021.xml,parsed,9,,10.24388/x20101021,2.4,2.0,2023-03-13,2023-03-13
x20101022.xml,parsed,5,,10.24388/x20101022,2.4,2.0,2023-03-13,2023-03-13
x20101023.xml,parsed,4,,10.24388/x20101023,2.4,2.0,2023-03-13,2023-03-13
x20101024.xml,parsed,9,,10.24388/x20101024,2.4,2.0,2023-03-13,2023-03-13
x20101025.xml,parsed,9,,10.24388/x20101025,2.4,2.0,2023-03-13,2023-03-13
x20101026.xml,parsed,5,,10.24388/x20101026,2.4,2.0,2023-03-13,2023-03-13
x20101027.xml,parsed,5,,10.24388/x20101027,2.4,2.0,2023-03-13,2023-03-13
x20101028.xml,parsed,17,,10.24388/x20101028,2.4,2.0,2023-03-13,2023-03-13
x20101029.xml,parsed,14,,10.24388/x20101029,2.4,2.0,2023-03-13,2023-03-13
x20101030.xml,parsed,13,,10.24388/x20101030,2.4,2.0,2023-03-13,2023-03-13
x20101031.xml,parsed,21,,10.24388/x20101031,2.4,2.0,2023-03-13,2023-03-13
x20101032.xml,parsed,21,,10.24388/x20101032,2.4,2.0,2023-03-13,2023-03-13
x20101033.xml,parsed,18,,10.24388/x20101033,2.4,2.0,2023-03-13,2023-03-13
x20101034.xml,parsed,11,,10.24388/x20101034,2.4,2.0,2023-03-13,2023-03-13
x20101035.xml,parsed,12,,10.24388/x20101035,2.4,2.0,2023-03-13,2023-03-13
x20101036.xml,parsed,10,,10.24388/x20101036,2.4,2.0,2023-03-13,2023-03-13
x20101037.xml,parsed,12,,10.24388/x20101037,2.4,2.0,2023-03-13,2023-03-13
x20101038.xml,parsed,11,,10.24388/x20101038,2.4,2.0,2023-03-13,2023-03-13
x20101039.xml,parsed,9,,10.24388/x20101039,2.4,2.0,2023-03-13,2023-03-13
x20101040.xml,parsed,11,,10.24388/x20101040,2.4,2.0,2023-03-13,2023-03-13
x20101041.xml,parsed,12,,10.24388/x20101041,2.4,2.0,2023-03-13,2023-03-13
x20101042.xml,parsed,10,,10.24388/x20101042,2.4,2.0,2023-03-13,2023-03-13
x20101043.xml,parsed,11,,10.24388/x20101043,2.4,2.0,2023-03-13,2023-03-13
x20101044.xml,parsed,9,,10.24388/x20101044,2.4,2.0,2023-03-13,2023-03-13
x20101045.xml,parsed,8,,10.24388/x20101045,2.4,2.0,2023-03-13,2023-03-13
x20101046.xml,parsed,8,,10.24388/x20101046,2.4,2.0,2023-03-13,2023-03-13
x20101047.xml,parsed,8,,10.24388/x20101047,2.4,2.0,2023-03-13,2023-03-13
x20101048.xml,parsed,8,,10.24388/x20101048,2.4,2.0,2023-03-13,2023-03-13
x20101049.xml,parsed,8,,10.24388/x20101049,2.4,2.0,2023-03-13,2023-03-13
x20101050.xml,parsed,8,,10.24388/x20101050,2.4,2.0,2023-03-13,2023-03-13
x20101051.xml,parsed,8,,10.24388/x20101051,2.4,2.0,2023-03-13,2023-03-13
x20101052.xml,parsed,8,,10.24388/x20101052,2.4,2.0,2023-03-13,2023-03-13
x20101053.xml,parsed,8,,10.24388/x20101053,2.4,2.0,2023-03-13,2023-03-13
x20101054.xml,parsed,7,,10.24388/x20101054,2.4,2.0,2023-03-13,2023-03-13
x20101055.xml,parsed,7,,10.24388/x20101055,2.4,2.0,2023-03-13,2023-03-13
x20101056.xml,parsed,7,,10.24388/x20101056,2.4,2.0,2023-03-13,2023-03-13
x20101057.xml,parsed,6,,10.24388/x20101057,2.4,2.0,2023-03-13,2023-03-13
x20101058.xml,parsed,11,,10.24388/x20101058,2.4,2.0,2023-03-13,2023-03-13
x20101059.xml,parsed,6,,10.24388/x20101059,2.4,2.0,2023-03-13,2023-03-13
x20101060.xml,parsed,6,,10.24388/x20101060,2.4,2.0,2023-03-13,2023-03-13
x20101061.xml,parsed,6,,10.24388/x20101061,2.4,2.0,2023-03-13,2023-03-13
x20101062.xml,parsed,6,,10.24388/x20101062,2.4,2.0,2023-03-13,2023-03-13
x20101063.xml,parsed,6,,10.24388/x20101063,2.4,2.0,2023-03-13,2023-03-13
x20101064.xml,parsed,6,,10.24388/x20101064,2.4,2.0,2023-03-13,2023-03-13
x20101065.xml,parsed,6,,10.24388/x20101065,2.4,2.0,2023-03-13,2023-03-13
x20101066.xml,parsed,6,,10.24388/x20101066,2.4,2.0,2023-03-13,2023-03-13
x20101067.xml,parsed,6,,10.24388/x20101067,2.4,2.0,2023-03-13,2023-03-13
x20101068.xml,parsed,8,,10.24388/x20101068,2.4,2.0,2023-03-13,2023-03-13
x20101069.xml,parsed,8,,10.24388/x20101069,2.4,2.0,2023-03-13,2023-03-13
x20101070.xml,parsed,8,,10.24388/x20101070,2.4,2.0,2023-03-13,2023-03-13
x20101071.xml,parsed,10,,10.24388/x20101071,2.4,2.0,2023-03-13,2023-03-13
x20101072.xml,parsed,10,,10.24388/x20101072,2.4,2.0,2023-03-13,2023-03-13
x20101073.xml,parsed,10,,10.24388/x20101073,2.4,2.0,2023-03-13,2023-03-13
x20101074.xml,parsed,10,,10.24388/x20101074,2.4,2.0,2023-03-13,2023-03-13
x20101075.xml,parsed,10,,10.24388/x20101075,2.4,2.0,2023-03-13,2023-03-13
