design_id,design_role,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull
map_0192,training,1800,20,1.3,0.2,False,False
map_0193,training,950,20,0.6,0.3,False,False
map_0194,training,950,5,0.6,0.7,False,False
map_0195,training,1400,5,0.9,0.0,False,False
map_0196,training,1800,1,0.7,0.3,False,False
map_0197,training,1400,10,1.4,0.4,False,False
map_0198,training,1400,1,1.2,0.2,False,False
map_0199,training,1400,1,0.7,0.7,False,False
map_0200,training,1400,5,0.6,0.3,False,False
map_0201,training,1400,1,1.3,0.7,False,False
map_0202,training,1050,5,1.4,0.0,False,False
map_0203,training,1800,5,0.6,0.7,False,False
map_0204,training,1600,10,0.8,0.5,False,False
map_0205,training,1400,20,0.6,0.7,False,False
map_0206,training,1800,20,0.6,0.4,False,False
map_0207,training,1050,10,0.8,0.5,False,False
map_0208,training,850,1,0.6,0.4,False,False
map_0209,training,950,1,1.0,0.0,False,False
map_0210,training,850,1,1.2,0.4,False,False
map_0211,training,850,20,1.0,0.0,False,False
map_0212,training,1200,1,1.4,0.0,False,False
map_0213,training,1050,10,1.1,0.2,False,False
map_0214,training,1200,20,1.4,0.1,False,False
map_0215,training,850,1,0.9,0.7,False,False
map_0216,training,850,20,1.0,0.7,False,False
map_0217,training,1800,20,1.1,0.4,False,False
map_0218,training,1200,1,0.8,0.5,False,False
map_0219,training,1200,1,0.6,0.05,False,False
map_0220,training,1200,1,1.1,0.4,False,False
map_0221,training,1800,5,1.4,0.4,False,False
map_0222,training,1800,10,0.6,0.2,False,False
map_0223,training,850,10,1.3,0.5,False,False
map_0224,training,1200,10,0.7,0.2,False,False
map_0225,training,1200,10,1.2,0.5,False,False
map_0226,training,1600,10,1.2,0.5,False,False
map_0227,training,1800,1,1.2,0.5,False,False
map_0228,training,850,10,0.8,0.2,False,False
map_0229,training,1200,5,0.6,0.5,False,False
map_0230,training,1600,1,0.6,0.5,False,False
map_0231,training,1400,5,1.4,0.05,False,False
map_0232,training,850,10,1.4,0.2,False,False
map_0233,training,1800,20,1.2,0.7,False,False
map_0234,training,850,10,0.8,0.7,False,False
map_0235,training,1400,10,1.0,0.7,False,False
map_0236,training,1600,20,0.9,0.7,False,False
map_0237,training,850,20,1.2,0.2,False,False
map_0238,training,1050,10,1.1,0.7,False,False
map_0239,training,1400,5,0.9,0.5,False,False
map_0240,training,1200,5,1.1,0.05,False,False
map_0241,interpolation_holdout,1600,10,1.0,0.1,True,False
map_0242,interpolation_holdout,1200,10,1.1,0.5,True,False
map_0243,interpolation_holdout,1400,20,1.4,0.2,True,False
map_0244,interpolation_holdout,1800,5,1.4,0.2,True,False
map_0245,interpolation_holdout,1800,20,0.6,0.05,True,False
map_0246,interpolation_holdout,1800,20,1.3,0.0,True,False
map_0247,interpolation_holdout,1600,5,0.6,0.05,True,False
map_0248,interpolation_holdout,1400,20,0.7,0.2,True,False
map_0249,interpolation_holdout,1600,5,1.0,0.4,True,False
map_0250,interpolation_holdout,1400,5,1.3,0.1,True,False
map_0251,interpolation_holdout,1800,5,0.8,0.2,True,False
map_0252,interpolation_holdout,1400,10,1.2,0.3,True,False
map_0253,interpolation_holdout,1800,10,1.1,0.3,True,False
map_0254,interpolation_holdout,1400,10,0.9,0.3,True,False
map_0255,interpolation_holdout,1800,5,1.1,0.0,True,False
map_0256,interpolation_holdout,1800,10,0.8,0.0,True,False
map_0257,interpolation_holdout,1600,10,1.4,0.05,True,False
map_0258,interpolation_holdout,1800,20,1.0,0.0,True,False
map_0259,interpolation_holdout,1400,5,0.9,0.1,True,False
map_0260,interpolation_holdout,1600,20,0.8,0.05,True,False
map_0261,interpolation_holdout,1600,20,1.1,0.2,True,False
map_0262,interpolation_holdout,1200,5,1.0,0.4,True,False
map_0263,interpolation_holdout,1800,10,1.2,0.1,True,False
map_0264,interpolation_holdout,1400,5,1.1,0.2,True,False
map_0265,interpolation_holdout,1200,5,1.0,0.2,False,False
map_0266,interpolation_holdout,1800,20,1.4,0.7,False,False
map_0267,interpolation_holdout,1800,1,0.7,0.7,False,False
map_0268,interpolation_holdout,850,1,1.4,0.7,False,False
map_0269,interpolation_holdout,1800,20,0.6,0.5,False,False
map_0270,interpolation_holdout,1800,1,1.4,0.0,False,False
map_0271,interpolation_holdout,850,20,0.7,0.7,False,False
map_0272,interpolation_holdout,850,1,0.6,0.7,False,False
map_0273,interpolation_holdout,1800,1,0.6,0.05,False,False
map_0274,interpolation_holdout,850,20,1.4,0.5,False,False
map_0275,interpolation_holdout,850,1,1.4,0.0,False,False
map_0276,interpolation_holdout,850,1,0.6,0.05,False,False
map_0277,interpolation_holdout,850,20,0.6,0.05,False,False
map_0278,interpolation_holdout,1600,1,1.4,0.7,False,False
map_0279,interpolation_holdout,1400,20,1.4,0.0,False,False
map_0280,interpolation_holdout,1400,5,1.0,0.7,False,False
map_0281,interpolation_holdout,1800,20,1.1,0.3,False,False
map_0282,interpolation_holdout,950,1,1.0,0.4,False,False
map_0283,interpolation_holdout,1600,1,1.0,0.3,False,False
map_0284,interpolation_holdout,1600,5,1.4,0.4,False,False
map_0285,interpolation_holdout,850,10,1.3,0.0,False,False
map_0286,interpolation_holdout,1400,20,0.8,0.0,False,False
map_0287,interpolation_holdout,950,5,0.6,0.4,False,False
map_0288,interpolation_holdout,1600,5,0.6,0.2,False,False
