design_id,design_role,pressure_bar,equivalence_ratio,cracking_ratio,flame_temperature_K,temperature_K,ignition_temperature_K,residence_time_ms,psr_fraction,heat_loss_W_per_K,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull
screen_0072,surrogate_screening,5,1.4,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0073,surrogate_screening,10,0.6,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0074,surrogate_screening,10,0.6,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0075,surrogate_screening,10,0.6,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0076,surrogate_screening,10,0.6,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0077,surrogate_screening,10,0.6,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0078,surrogate_screening,10,0.6,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0079,surrogate_screening,10,0.6,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0080,surrogate_screening,10,0.6,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0081,surrogate_screening,10,0.7,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0082,surrogate_screening,10,0.7,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0083,surrogate_screening,10,0.7,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0084,surrogate_screening,10,0.7,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0085,surrogate_screening,10,0.7,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0086,surrogate_screening,10,0.7,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0087,surrogate_screening,10,0.7,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0088,surrogate_screening,10,0.7,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0089,surrogate_screening,10,0.8,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0090,surrogate_screening,10,0.8,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0091,surrogate_screening,10,0.8,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0092,surrogate_screening,10,0.8,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0093,surrogate_screening,10,0.8,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0094,surrogate_screening,10,0.8,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0095,surrogate_screening,10,0.8,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0096,surrogate_screening,10,0.8,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0097,surrogate_screening,10,0.9,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0098,surrogate_screening,10,0.9,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0099,surrogate_screening,10,0.9,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0100,surrogate_screening,10,0.9,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0101,surrogate_screening,10,0.9,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0102,surrogate_screening,10,0.9,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,True,False
screen_0103,surrogate_screening,10,0.9,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0104,surrogate_screening,10,0.9,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0105,surrogate_screening,10,1.0,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0106,surrogate_screening,10,1.0,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0107,surrogate_screening,10,1.0,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0108,surrogate_screening,10,1.0,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0109,surrogate_screening,10,1.0,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,True,False
screen_0110,surrogate_screening,10,1.0,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,True,False
screen_0111,surrogate_screening,10,1.0,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,True,False
screen_0112,surrogate_screening,10,1.0,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0113,surrogate_screening,10,1.1,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0114,surrogate_screening,10,1.1,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0115,surrogate_screening,10,1.1,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0116,surrogate_screening,10,1.1,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0117,surrogate_screening,10,1.1,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0118,surrogate_screening,10,1.1,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,True,False
screen_0119,surrogate_screening,10,1.1,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,True,False
screen_0120,surrogate_screening,10,1.1,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0121,surrogate_screening,10,1.2,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0122,surrogate_screening,10,1.2,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0123,surrogate_screening,10,1.2,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0124,surrogate_screening,10,1.2,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0125,surrogate_screening,10,1.2,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0126,surrogate_screening,10,1.2,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,True,False
screen_0127,surrogate_screening,10,1.2,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0128,surrogate_screening,10,1.2,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0129,surrogate_screening,10,1.3,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0130,surrogate_screening,10,1.3,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0131,surrogate_screening,10,1.3,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0132,surrogate_screening,10,1.3,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0133,surrogate_screening,10,1.3,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0134,surrogate_screening,10,1.3,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0135,surrogate_screening,10,1.3,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0136,surrogate_screening,10,1.3,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0137,surrogate_screening,10,1.4,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0138,surrogate_screening,10,1.4,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
