mechanism_id,location,temperature_K,pressure_bar,target_species,absolute_rank,reaction_index,reaction_equation,production_contribution_kmol_m3_s,normalized_absolute_contribution,direction
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NO,11,140,NO + O (+M) <=> NO2 (+M),-2.3339558305267294e-05,0.004365295106127411,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NO,12,76,NH2 + NO <=> NNH + OH,-2.1265297159334754e-05,0.003977337377418977,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,1,84,NH + NO <=> H + N2O,0.00022078310170747884,0.4404910230227678,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,2,187,N2O (+M) <=> N2 + O (+M),-0.00013820357944097214,0.27573412830308114,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,3,189,H + N2O <=> N2 + OH,-0.00010805365259027261,0.21558110019623677,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,4,190,N2O + O <=> 2 NO,2.0619512612221436e-05,0.04113861130922147,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,5,149,HNO + NO <=> N2O + OH,9.164072134849274e-06,0.01828351662113395,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,6,192,N2O + OH <=> HO2 + N2,-2.119503647253793e-06,0.004228685631549334,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,7,131,NNH + O <=> H + N2O,-1.4712796129682552e-06,0.00293539431621716,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,8,191,N2O + O <=> N2 + O2,-6.015807870775719e-07,0.0012002319664923212,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,9,188,H + N2O <=> N2 + OH,-9.947495550377079e-08,0.0001984654829836373,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,10,193,N2O + NO <=> N2 + NO2,-6.869016866711795e-08,0.0001370458265772263,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,11,86,NH + NO2 <=> N2O + OH,3.016266230219492e-08,6.0178436990107964e-05,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,12,74,NH2 + NO2 <=> H2O + N2O,5.621728115621889e-09,1.1216079263561952e-05,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,1,25,NH3 + OH <=> H2O + NH2,-9.22046716382921e-08,0.8320909437834456,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,2,24,H + NH3 <=> H2 + NH2,-9.530933951730405e-09,0.0860108678456537,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,3,23,NH3 <=> H + NH2,6.127419351157702e-09,0.055296223719149946,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,4,26,NH3 + O <=> NH2 + OH,-2.0004481880405486e-09,0.01805282521157272,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,5,148,HNO + NH2 <=> NH3 + NO,-6.596460522901168e-10,0.005952903431686407,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,6,28,NH3 + O2 <=> HO2 + NH2,2.1413327474864646e-10,0.001932422246239469,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,7,39,NH + NH2 <=> N + NH3,5.137961954969145e-11,0.0004636697399677333,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,8,27,HO2 + NH3 <=> H2O2 + NH2,9.026510131336721e-12,8.145875041688863e-05,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,9,43,2 NH2 <=> NH + NH3,-6.5862002289405395e-12,5.943644141963337e-05,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,10,160,HONO + NH2 <=> NH3 + NO2,2.708221152621812e-12,2.4440044683414e-05,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,11,170,H2NO + NH2 <=> HNO + NH3,-2.3953273782632866e-12,2.1616369143075917e-05,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,12,69,HNOH + NH2 <=> HNO + NH3,-7.691403516047973e-13,6.941022723657535e-06,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH2,1,76,NH2 + NO <=> NNH + OH,-2.1265297159334754e-05,0.3472530277267665,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH2,2,29,NH2 + O <=> H + HNO,1.586619029626433e-05,0.2590879674798388,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH2,3,75,NH2 + NO <=> H2O + N2,-9.346408099082456e-06,0.1526227678107785,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH2,4,30,NH2 + O <=> H + HNO,6.925682195025153e-06,0.1130933696000643,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH2,5,34,NH2 + OH <=> H2O + NH,4.160598868079815e-06,0.06794076486549652,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH2,6,33,H + NH2 <=> H2 + NH,1.8311820092274493e-06,0.02990240353842805,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH2,7,165,H + H2NO <=> NH2 + OH,7.93120626796043e-07,0.012951313915055235,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH2,8,62,H + HNOH <=> NH2 + OH,2.648392129292174e-07,0.004324708837189913,production
