mechanism_id,reaction_index,reaction_equation,normalized_flame_speed_sensitivity,absolute_sensitivity,absolute_rank,reaction_family,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,flame_speed_m_per_s
POLIMI_2023,24,H + NH3 <=> H2 + NH2,-0.024965411655940885,0.024965411655940885,20,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,42,2 NH => 2 H + N2,0.02232753060215359,0.02232753060215359,21,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,15,H + HO2 <=> H2 + O2,-0.022057697916073586,0.022057697916073586,22,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,129,NNH <=> H + N2,0.019659520172632557,0.019659520172632557,23,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,135,NNH + O2 <=> HO2 + N2,-0.016017789768686033,0.016017789768686033,24,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,44,2 NH2 <=> H2 + N2H2,0.015544226802226306,0.015544226802226306,25,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,78,NH + O <=> H + NO,-0.015235365228443872,0.015235365228443872,26,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,142,HNO <=> H + NO,0.013868871190028838,0.013868871190028838,27,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,147,HNO + O2 <=> HO2 + NO,0.013610573394581719,0.013610573394581719,28,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,46,2 NH2 (+M) <=> N2H4 (+M),-0.013413271065714978,0.013413271065714978,29,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,89,N + O2 <=> NO + O,0.012992722299693173,0.012992722299693173,30,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,140,NO + O (+M) <=> NO2 (+M),-0.012712866621402967,0.012712866621402967,31,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,26,NH3 + O <=> NH2 + OH,0.011349672483280027,0.011349672483280027,32,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,18,HO2 + OH <=> H2O + O2,-0.01054546758749365,0.01054546758749365,33,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,22,O + OH + M <=> HO2 + M,-0.00960101827445812,0.00960101827445812,34,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,139,HO2 + NO <=> NO2 + OH,0.009364756138596626,0.009364756138596626,35,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,80,NH + OH <=> H2O + N,-0.009299209167388566,0.009299209167388566,36,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,37,HO2 + NH2 <=> H2NO + OH,0.008710358768390259,0.008710358768390259,37,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,75,NH2 + NO <=> H2O + N2,-0.008683618080015781,0.008683618080015781,38,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
