design_id,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,design_role,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3,thermo_min_temperature_K,thermo_max_temperature_K,within_mechanism_thermo_range,NOx_NO2eq_g_per_MJ,N2O_g_per_MJ,NH3_slip_g_per_MJ,standard_fuel_heat_input_W,mechanism_to_standard_heat_ratio,EI_standard_LHV_g_per_MJ_NO,EI_standard_LHV_g_per_MJ_NO2,EI_standard_LHV_g_per_MJ_N2O,EI_standard_LHV_g_per_MJ_NH3,EI_standard_LHV_g_per_MJ_NOx_NO2eq
reactor_0035,750,10,10,1.4,0.0,0.5,0.0,primary_map,MEI_2019,completed,0.1095483999997668,0.01,300.0,2154.1387077299864,2150.8460804999427,660,647,True,,0.2521842297592926,881864.8412434716,0.0001788458217494,1.0220115670106634e-09,2.955922441612392e-08,5.263674901807942e-05,0.1066843044740455,4.389964262227113e-07,0.266476528659534,0.000243817449253,1.393290885624974e-09,4.0297584973124814e-08,7.175877947284933e-05,0.1454408872276261,5.984763179022398e-07,0.0002378528905349,2.0839263992244714e-09,5.766277472174482e-08,3.973294329134855e-05,0.0095326267410577,6.225945992105071e-07,0.2127721386684326,0.0680180739613192,5.959341491860048e-07,1.6489649829425578e-05,0.0113623099951118,6.882904640421835e-05,3.933224767754121e-10,1.1375905845093812e-08,2.0257321112081623e-05,300,3000,True,0.1042862412405192,1.6489649829425578e-05,0.0113623099951118,881722.4417200218,1.000161501530087,0.06802905898433753,5.960303934629295e-07,1.6492312933103632e-05,0.011364145025561333,0.1043030836280466
reactor_0036,750,10,20,0.6,0.3,0.5,0.0,primary_map,MEI_2019,completed,0.102495899999667,0.02,300.0,1986.277921566969,1988.390045234267,550,531,True,,0.1582146648888118,277196.2280034382,0.0056571839196196,1.632271351000903e-05,6.427021581003349e-07,1.0040183117908198e-10,6.779790584637774e-05,0.0662519780252392,0.2075262804514474,0.0071386391498791,2.059716695628414e-05,8.110075353242783e-07,1.2669420916100254e-10,8.555224504479478e-05,0.0836014827885786,0.0064795868133891,2.866396751067149e-05,1.0797659791498644e-06,6.527106402320842e-11,5.217298885377396e-06,0.0809208792455248,0.1427073292244537,3.698339128502212,0.01636046798598,0.0006162955887964,3.725461776932988e-08,0.0033587295863535,9.690966667268376e-06,3.815790301846907e-07,5.960962303801728e-11,300,3000,True,5.686672197144667,0.0006162955887964,3.725461776932988e-08,277197.54837825376,0.9999952367009619,3.6983215122069986,0.016360390056178578,0.0006162926531962147,3.72544403144449e-08,5.68664510982446
reactor_0037,750,10,20,1.4,0.3,0.5,0.0,primary_map,MEI_2019,completed,0.1230595999995785,0.02,300.0,2241.544224296271,2246.4333006450865,530,674,True,,0.1207483293068951,440603.1215677869,8.381972945321809e-05,7.611142563520913e-10,7.2556152729723445e-09,8.695765562380542e-06,0.106552298915121,1.4555120601983054e-06,0.2663523537172798,0.0001142506622599,1.037438421848063e-09,9.88978198149402e-09,1.1852781926638283e-05,0.1452363398901436,1.9839388398138552e-06,0.0001115006755196,1.5523084824973727e-09,1.4157232258989577e-08,6.565549961386664e-06,0.0095230593489076,2.0647229316442327e-06,0.2127227527064032,0.0305570242845202,4.2541381723198266e-07,3.879823040744553e-06,0.0017993045214874,3.225288545974304e-05,2.928681718735734e-10,2.791878831698553e-09,3.3460324018913886e-06,300,3000,True,0.0468506052346367,3.879823040744553e-06,0.0017993045214874,440605.97731921956,0.9999935185821808,0.0305568262316785,4.254110599472871e-07,3.8797978939903615e-06,0.0017992928594430123,0.046850301576289194
reactor_0038,750,20,5,1.0,0.3,0.5,0.0,primary_map,MEI_2019,completed,0.110916300000099,0.005,300.0,2431.6112076243,2451.46539696538,670,577,True,,0.9708046169809562,2673899.496734652,0.0031148962851594,1.0295744028923278e-06,4.1294406113639e-07,1.824781586547197e-07,0.0078776232994522,0.0016074934197767,0.2998876435247513,0.0044491377081837,1.47058453313947e-06,5.898254149025135e-07,2.6064124846105455e-07,0.0112519415299459,0.0022960506337436,0.0037725852379185,1.9118338071454084e-06,7.336004037540862e-07,1.2544068131713734e-07,0.0006410222474414,0.0020761532292058,0.2180621066302842,1.3697011317732986,0.0006941237279649,0.000266346083633,4.554336942305747e-05,0.0012699279601945,4.197524416985944e-07,1.6835527132375738e-07,7.439545159320787e-08,300,3000,True,2.1007266310446933,0.000266346083633,4.554336942305747e-05,2673914.6608134136,0.9999943288845439,1.36969336404004,0.0006941197915090978,0.0002663445731536084,4.554311114135121e-05,2.1007147175814267
reactor_0039,750,20,10,0.6,0.3,0.5,0.0,primary_map,MEI_2019,completed,0.1010025000005043,0.01,300.0,1989.3417002137392,1991.1330496967728,500,526,True,,0.6325738495535339,1108285.917446921,0.0049006427813851,1.9964770533124147e-05,9.147584792077524e-07,1.1900413882674552e-10,4.882900038998967e-05,0.066675502193831,0.2076554926791151,0.0061849899079321,2.519708327458473e-05,1.1544958925768032e-06,1.5019241974570922e-10,6.162597195895602e-05,0.0841496363990426,0.0056126843986323,3.5057329343088615e-05,1.536727581727871e-06,7.735914933410412e-11,3.757316952839296e-06,0.081432656032548,0.1427865039113381,3.203539195509064,0.0200095926768696,0.0008771145304526,4.4154106916011215e-08,0.0029228141115737,1.1907277402507304e-05,5.455751645204589e-07,7.097578660899391e-11,300,3000,True,4.931691632628487,0.0008771145304526,4.4154106916011215e-08,1108291.196569312,0.9999952367009617,3.203523936093895,0.020009497365196048,0.0008771103524938007,4.415389659679621e-08,4.931668141506476
reactor_0040,750,20,10,1.4,0.3,0.5,0.0,primary_map,MEI_2019,completed,0.1103665000000546,0.01,300.0,2246.666038539655,2248.4298265550697,560,653,True,,0.4826560432169672,1761181.7944449915,6.728759132350453e-05,6.167502086346906e-10,7.99828004559305e-09,1.9664940169256043e-05,0.1065995067740832,7.454979084464815e-07,0.2665051239406116,9.173559832482934e-05,8.408377873722933e-10,1.0904343447581847e-08,2.680992166557936e-05,0.1453309494768062,1.0163641666477318e-06,8.94934361916243e-05,1.257657648995299e-09,1.560363110444535e-08,1.484502299799425e-05,0.0095256324354509,1.0573465676082642e-06,0.2128079882647425,0.024525888208918,3.446640582478403e-07,4.276212071032747e-06,0.0040683137222269,2.589677809436468e-05,2.3736684548383447e-10,3.078274603135553e-09,7.568387897164785e-06,300,3000,True,0.0376035570107269,4.276212071032747e-06,0.0040683137222269,1761193.2094740437,0.9999935185821801,0.024525729246389114,3.446618243360713e-07,4.276184355115628e-06,0.004068287353785844,0.03760331328636249
reactor_0041,750,20,20,1.0,0.3,0.5,0.0,primary_map,MEI_2019,completed,0.1116978999998536,0.02,300.0,2439.946317221584,2455.811311226352,650,577,True,,0.242701154245239,668474.8741836629,0.0019960944900342,7.119931998049013e-07,4.076418222747147e-07,1.1822475004613529e-07,0.0074321668180384,0.0018913808149525,0.3002961900214641,0.0028527706460473,1.0175637028855715e-06,5.825919717190329e-07,1.6896399356430828e-07,0.0106218755879954,0.0027031163586354,0.0024171348053076,1.3218815834560089e-06,7.240547006601601e-07,8.125689531401814e-08,0.0006046689222034,0.0024423814048589,0.2183211246384629,0.8775818357135944,0.0004799315553514,0.000262880354032,2.950169564290668e-05,0.0008158798385408,2.9101873673777045e-07,1.666187376401591e-07,4.8322957886385295e-08,300,3000,True,1.3459927153866975,0.000262880354032,2.950169564290668e-05,668478.6652033532,0.999994328884544,0.8775768588456819,0.00047992883360413864,0.00026287886320716116,2.950152833538454e-05,1.345985082106606
reactor_0042,750,5,5,1.0,0.7,0.5,0.0,primary_map,MEI_2019,completed,0.1063337000005049,0.005,300.0,2458.178254571724,2493.305363678219,720,563,True,,0.2371418608496142,689447.6098968768,0.0056196535066131,1.1831802571474225e-06,3.524667967240923e-07,1.267255619140743e-07,0.0140638403846023,0.0028683058871418,0.2904534016973494,0.0079200626428994,1.6675159319737133e-06,4.967493291733756e-07,1.786007602844157e-07,0.0198208833898228,0.0040424489300679,0.0068376396831125,2.207214380130053e-06,6.290537432520532e-07,8.751710480970449e-08,0.0011496960100465,0.0037216614673311,0.2121774869184413,2.351869199336281,0.00075919173246,0.0002163688336979,3.01023149443484e-05,0.0022799047582863,4.800186159175974e-07,1.4299649009383957e-07,5.141281597956409e-08,300,3000,True,3.606656607593411,0.0002163688336979,3.01023149443484e-05,689591.6964162353,0.9997910553156204,2.3513777887687235,0.0007590331033830775,0.0002163236245802334,3.0096025225653256e-05,3.605903015866871
reactor_0043,750,5,10,0.6,0.7,0.5,0.0,primary_map,MEI_2019,completed,0.0974452000000383,0.01,300.0,2042.795667317084,2051.5469261357653,650,554,True,,0.1529199850937113,282803.4010478241,0.0089130131705394,1.6114578162074445e-05,5.412385902728567e-07,1.7585312943459434e-10,0.0001548704429019,0.0644257048213347,0.2069892593742562,0.0112394608470326,2.032075649991684e-05,6.825110462511261e-07,2.2175378015161975e-10,0.0001952942563927,0.0812419069765665,0.010211541232035,2.8306268274313225e-05,9.095537485958868e-07,1.1435335012398439e-10,1.1921137856537283e-05,0.0787119469029819,0.1423772889459777,5.521675931763449,0.0153060186211642,0.0004918220401942,6.183416653259584e-08,0.0051904984982305,9.384334135882773e-06,3.151906135717792e-07,1.024081740680474e-10,300,3000,True,8.481166696241491,0.0004918220401942,6.183416653259584e-08,282862.246875927,0.9997919629475025,5.520527218577758,0.01530283440216478,0.0004917197229866047,6.182130273484676e-08,8.479402299320267
reactor_0044,750,5,10,1.4,0.7,0.5,0.0,primary_map,MEI_2019,completed,0.1068327000002682,0.01,300.0,2341.423558787398,2361.981234758768,590,583,True,,0.114646510636755,441577.6469058016,0.0003958635036825,5.958739730900391e-09,2.5811972842937746e-08,4.766358907958074e-06,0.1064960976756967,1.0806621013907288e-05,0.2651061932757274,0.0005386676279762,8.108300378065468e-09,3.512340505085005e-08,6.485779121208979e-06,0.1449135871077674,1.4705010322616394e-05,0.0005271657380977,1.2166146982209769e-08,5.0419180068611066e-08,3.6026369427297223e-06,0.0095283528083975,1.5346394658678525e-05,0.2119569919794779,0.1368676898018961,3.1586886455368543e-06,1.309029817187638e-05,0.0009353502322166,0.0001520747670412,2.289107098800861e-09,9.915917280699156e-09,1.831042553353961e-06,300,3000,True,0.2098493733976923,1.309029817187638e-05,0.0009353502322166,441670.2893787457,0.9997902451779711,0.1368389811439802,3.158026095362165e-06,1.3087552418713033e-05,0.0009351540379951066,0.20980535647972245
reactor_0045,750,5,20,1.0,0.7,0.5,0.0,primary_map,MEI_2019,completed,0.094418399999995,0.02,300.0,2481.9475078375585,2501.734956966299,590,545,True,,0.0592854652124035,172361.9024742192,0.0030871487484635,7.164784098095159e-07,3.0444553816648254e-07,6.85872920062286e-08,0.0131937682209446,0.0035489485169494,0.2911563821971686,0.0043551901589135,1.010770770611365e-06,4.294960559991466e-07,9.675941249048038e-08,0.0186130874138935,0.0050066734436432,0.0037551923483735,1.3362098528268602e-06,5.431966865852934e-07,4.735330893883943e-08,0.0010782659844656,0.004603509673542,0.2126312574786288,1.2916330241172758,0.0004596016962512,0.0001868375076148,1.628760711901327e-05,0.0012596305169076,2.923403254056706e-07,1.2422106022644305e-07,2.7985255367465098e-08,300,3000,True,1.980797702649968,0.0001868375076148,1.628760711901327e-05,172397.92410405868,0.9997910553156213,1.2913631442627185,0.0004595056649198369,0.00018679846891074133,1.6284203910084505e-05,1.98038382549917
reactor_0046,750,10,5,0.6,0.7,0.5,0.0,primary_map,MEI_2019,completed,0.1022966999998971,0.005,300.0,2049.1336708421327,2055.843384609648,570,541,True,,0.6112127812952128,1130349.6610221318,0.0077752404483781,1.983866950152243e-05,7.654906927061092e-07,2.015363544424176e-10,0.0001124940344725,0.0650636600586454,0.2072035337238784,0.0098073601222008,2.502366035346689e-05,9.655576497480223e-07,2.5420945099448117e-10,0.000141895226906,0.0820685545739863,0.0089069812397691,3.4843853711087945e-05,1.2862621517438598e-06,1.3103947715915208e-10,8.658220155323192e-06,0.0794822089718979,0.1425082570465789,4.8162625815986,0.0188410803065482,0.0006955191781375,7.0856838424219e-08,0.0045586359256195,1.1631443697023956e-05,4.488084189377567e-07,1.181610873360511e-10,300,3000,True,7.40315854234708,0.0006955191781375,7.0856838424219e-08,1130584.864564955,0.9997919629475017,4.8152606205270665,0.018837160663735343,0.0006953744843777243,7.084209757640388e-08,7.401618411064751
reactor_0047,750,10,5,1.4,0.7,0.5,0.0,primary_map,MEI_2019,completed,0.0989012000000002,0.005,300.0,2350.9663693666566,2367.47630458826,560,614,True,,0.4577803015167783,1763207.1593010218,0.0003164651215518,4.8790149596416545e-09,2.866439155242304e-08,1.0248853896177412e-05,0.1065828867140732,5.742476395463628e-06,0.2655682171343874,0.0004308979117393,6.643251386268537e-09,3.902934516338612e-08,1.3954807151984004e-05,0.1451229225105252,7.81893775492338e-06,0.0004212439323846,9.957192100321266e-09,5.596588819900768e-08,7.743105063912204e-06,0.0095318611526118,8.151203841358517e-06,0.2122316084995217,0.1093672818658573,2.58517915940889e-06,1.4530386312946042e-05,0.0020103372154177,0.0001216455881909,1.8754377785698448e-09,1.1018265625707536e-08,3.939542703379123e-06,300,3000,True,0.1676850392761496,1.4530386312946042e-05,0.0020103372154177,1763577.078097174,0.9997902451779702,0.10934434155111364,2.584636905614393e-06,1.4527338494350945e-05,0.00200991553749286,0.16764986653057917
reactor_0048,750,10,10,1.0,0.7,0.5,0.0,primary_map,MEI_2019,completed,0.114117800000713,0.01,300.0,2501.619644477886,2520.54021752517,630,550,True,,0.2357036453350588,685266.2551353248,0.0029791119081273,8.67303458673938e-07,4.050270665409812e-07,1.1019539331376576e-07,0.0113927372809947,0.0029087313157061,0.2940912647470282,0.0042202508048858,1.2286339796647058e-06,5.737668997619563e-07,1.5610430613849222e-07,0.016139107949857,0.0041205486919832,0.003618358254542,1.6150752250370213e-06,7.215753027087855e-07,7.596616984020779e-08,0.0009296837761843,0.0037674117029851,0.2144534480568758,1.2445676761879174,0.0005555200116433,0.0002481924769498,2.612926438343771e-05,0.0012153234299418,3.538149108532936e-07,1.6523007490420204e-07,4.495401565833194e-08,300,3000,True,1.908732798193854,0.0002481924769498,2.612926438343771e-05,685409.4678002452,0.9997910553156203,1.244307630387627,0.0005554039386898006,0.0002481406184510383,2.612380481253804e-05,1.90833397862177
reactor_0049,750,10,20,0.6,0.7,0.5,0.0,primary_map,MEI_2019,completed,0.1129262000004018,0.02,300.0,2056.2358734206828,2058.725005740373,550,459,True,,0.1528031953238032,282587.4152555329,0.0064548979864045,1.6474841687174803e-05,7.685920053194187e-07,1.9890996387593823e-10,0.000114247522955,0.0657192206309051,0.2071852668649501,0.0081417482756402,2.0780191132457728e-05,9.6944717750155e-07,2.508908520019336e-10,0.0001441036829667,0.0828935410559661,0.0073945343766524,2.8936075528418903e-05,1.2914874160557031e-06,1.2933320257001588e-10,8.793275189749572e-06,0.0802839224657045,0.14249724892425,3.998438782783252,0.0156465736341269,0.0006983446298036,6.993420636332532e-08,0.0038091875093881,9.722192559217924e-06,4.535642658713915e-07,1.17381460014538e-10,300,3000,True,6.146072567726491,0.0006983446298036,6.993420636332532e-08,282646.21614123875,0.9997919629475016,3.997606959364287,0.01564331856706636,0.0006981993482451876,6.991965745716468e-08,6.144793956905061
