observable,held_out_campaign,best_single_name,stacking_success,weight_C3_v3_5_C0,weight_KAUST_2023,weight_Konnov_2026,weight_MEI_2019,weight_MEI_2021,weight_NUIGMech1.1_HT,weight_NUIG_2024,weight_Otomo_2018,weight_POLIMI_2023,weight_RMG_2026_Burke,weight_Shrestha_2018
NH3,campaign_d5397fe0cc8b,NUIG_2024,True,4.3875026735724054e-15,5.7930147061255016e-15,3.2738081872519184e-15,0.0,2.0094032791753708e-14,0.0016003460317569607,0.7290854371375912,6.87201174536658e-15,8.938294695001987e-15,0.26931421683060247,0.0
NH3,campaign_ee8a7459e5e3,C3_v3_5_C0,True,0.0,0.0,0.4140985258006835,1.5128763338555164e-13,0.46451024353369336,1.261387308774523e-13,0.0,0.0,3.455465852169708e-14,0.12139123066517958,1.3159800785095302e-13
NH3,campaign_35d254af7da1,RMG_2026_Burke,True,0.36639824135986593,3.826524399192006e-13,0.06706840486064841,8.435181515745715e-15,0.14768740445734424,0.16409805594063442,2.608278680908683e-15,1.4152772987559968e-12,3.8961871545772733e-13,0.25474789337930065,7.774827823867775e-15
NH3,campaign_44d60316083a,C3_v3_5_C0,True,0.4898742653206567,4.053059843956437e-13,6.675747451902087e-13,0.033736268949974176,0.19771939384988022,5.871782444260276e-19,4.353058325046292e-13,1.0169889701243783e-12,3.337038717299185e-13,0.27867007187663007,1.4160646205391003e-18
NO,campaign_61c8414731db,KAUST_2023,True,0.0,7.87789768857438e-16,4.3225192441218263e-16,0.0,0.5618672860278197,0.0,0.160196974077545,1.2796507898996946e-15,1.0595941713018697e-15,0.0,0.2779357398946319
NO,campaign_463b066b12d8,Shrestha_2018,True,7.682358201108143e-14,0.27382152683551286,1.0006882687865832e-13,0.0,0.0,2.855079688260337e-13,0.0,2.363142336196367e-13,0.0,0.0,0.7261784731637885
NO,campaign_d5397fe0cc8b,MEI_2019,True,3.5208783987800355e-14,0.430360567978623,2.2697304256142628e-14,1.6918459351451984e-14,0.0,5.059908036921338e-14,0.0,8.606817565754254e-14,0.0,0.0,0.5696394320211655
NO,campaign_ee8a7459e5e3,MEI_2019,True,1.285755356350549e-15,0.458056932819689,0.0,0.0,0.0,0.0,2.135010918058438e-15,0.0,2.6020852139651893e-15,8.154284539263412e-16,0.5419430671803042
NO,campaign_35d254af7da1,MEI_2019,True,0.0,0.12532385710495203,3.34750332430655e-16,0.7083014203803588,0.0,0.0,2.6862792301310986e-16,0.09681091678308074,2.7384908703954457e-16,0.0,0.06956380573160766
NO2,campaign_35d254af7da1,Otomo_2018,True,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
NO2,campaign_ee8a7459e5e3,Konnov_2026,True,0.0,0.0,0.7077721206708243,0.0,0.0,1.2497008244567103e-17,7.495263625944908e-17,1.1300823440261812e-17,0.0,0.2922278793291757,0.0
O2,campaign_61c8414731db,NUIGMech1.1_HT,False,2.9809358429089773e-13,7.73628767054014e-11,7.165458567404453e-11,0.0,3.4046014720252633e-12,0.9999999994415123,1.1613814466013741e-10,0.0,1.995821735963396e-10,9.004732439150017e-11,0.0
O2,campaign_463b066b12d8,NUIGMech1.1_HT,False,6.00864102863248e-11,4.682750023868305e-06,2.902095623569417e-10,5.562615048399181e-10,4.6077239198753535e-06,0.9999476366796262,1.329299065469555e-05,2.2877142389873065e-10,2.977780320062255e-05,1.4346071854819545e-10,7.737850226308642e-10
O2,campaign_44d60316083a,NUIGMech1.1_HT,False,0.0,3.7557439183246234e-05,0.0,0.0,3.011145431160452e-05,0.9996976193668917,7.522999428346536e-05,0.0,0.0001594817453300701,0.0,0.0
