mechanism_id,reaction_index,reaction_equation,normalized_flame_speed_sensitivity,absolute_sensitivity,absolute_rank,reaction_family,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,flame_speed_m_per_s
Konnov_2026,268,N2H4 + OH <=> H2NO + NH3,-0.006620028837329011,0.006620028837329011,49,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,77,N + OH <=> H + NO,-0.006537858612181301,0.006537858612181301,50,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,150,2 NH2 (+M) <=> N2H4 (+M),-0.005826933489940852,0.005826933489940852,51,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,214,H + cHNNH <=> H2 + NNH,-0.005810684245615709,0.005810684245615709,52,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,18,HO2 + OH <=> H2O + O2,-0.004911031424233192,0.004911031424233192,53,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,92,NH + NO <=> N2 + OH,-0.004880786324652339,0.004880786324652339,54,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,306,HNO + NH2 <=> NH3 + NO,-0.0048034934499112366,0.0048034934499112366,55,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,86,NH + OH <=> H2O + N,-0.004491633261150517,0.004491633261150517,56,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,99,2 NH <=> H2 + N2,-0.0039563005704547315,0.0039563005704547315,57,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,125,HO2 + NH2 <=> H2NO + OH,0.003399209621692629,0.003399209621692629,58,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,47,H2 + O2* <=> H + HO2,-0.003205108636340643,0.003205108636340643,59,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,48,H + O2* <=> O + OH,0.0031294130299074916,0.0031294130299074916,60,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,5,H + O + M <=> OH + M,-0.0027612807255747358,0.0027612807255747358,61,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,205,O + tHNNH <=> NH2 + NO,-0.002392963428250236,0.002392963428250236,62,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,82,H + NH + M <=> NH2 + M,-0.002366366625966435,0.002366366625966435,63,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,334,NH2OH (+M) <=> NH2 + OH (+M),-0.002261943263965501,0.002261943263965501,64,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,97,N + NH <=> H + N2,-0.0021250069177491154,0.0021250069177491154,65,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,0,2 H + M <=> H2 + M,-0.0021079033249047524,0.0021079033249047524,66,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,73,2 H + O2 <=> H2 + O2,-0.0021066301024220717,0.0021066301024220717,67,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,316,H + H2NO <=> NH2 + OH,0.002093784516566766,0.002093784516566766,68,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,91,NH + O2 <=> NO + OH,0.0020127509984400748,0.0020127509984400748,69,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,315,H + H2NO <=> H2 + HNO,-0.00200223279228381,0.00200223279228381,70,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,201,tHNNH (+M) <=> H + NNH (+M),0.0019899489618090266,0.0019899489618090266,71,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,23,H + H2O2 <=> H2O + OH,-0.0019430288277616473,0.0019430288277616473,72,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,89,NH + O2 <=> HNO + O,0.0018662032427675908,0.0018662032427675908,73,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,184,NNH + NO <=> HNO + N2,-0.0017963978183915877,0.0017963978183915877,74,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,261,H + N2H4 <=> H2 + N2H3,0.0016287383551836555,0.0016287383551836555,75,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,272,N2H4 + NH2 <=> N2H3 + NH3,0.0015214312324468892,0.0015214312324468892,76,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,202,tHNNH (+M) <=> cHNNH (+M),-0.0011734145027030207,0.0011734145027030207,77,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,231,H + N2H3 <=> 2 NH2,-0.0010838271589173835,0.0010838271589173835,78,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,9,H2O2 (+M) <=> 2 OH (+M),0.0010775577457639348,0.0010775577457639348,79,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,76,H + OH + O2 <=> H2O + O2,-0.0010232148240870607,0.0010232148240870607,80,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,211,NH2 + tHNNH <=> NH3 + NNH,0.0008476530462178876,0.0008476530462178876,81,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,158,HO2 + NH3 <=> H2O2 + NH2,0.0008370087158592455,0.0008370087158592455,82,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,128,NH2 + O2 <=> H2NO + O,0.0008254357218563192,0.0008254357218563192,83,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,397,NO + O (+M) <=> NO2* (+M),-0.0008191400782932896,0.0008191400782932896,84,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,181,HO2 + NNH <=> O2 + tHNNH,0.0008141353479093086,0.0008141353479093086,85,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,216,O + cHNNH <=> NH2 + NO,-0.0008118262074253596,0.0008118262074253596,86,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,49,H + O2* + M <=> HO2 + M,-0.0007859449979619191,0.0007859449979619191,87,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,355,H + N2O <=> NNH + O,0.0007821309530791179,0.0007821309530791179,88,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,208,HO2 + tHNNH <=> H2O2 + NNH,0.0007662835492446196,0.0007662835492446196,89,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,305,HNO + NH <=> NH2 + NO,-0.0007594686019329691,0.0007594686019329691,90,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,22,H + H2O2 <=> H2 + HO2,0.0007589513189061739,0.0007589513189061739,91,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
