design_id,design_role,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,mechanism_count,NOx_NO2eq_g_per_MJ_median,NOx_NO2eq_g_per_MJ_p05,NOx_NO2eq_g_per_MJ_p95,NOx_NO2eq_g_per_MJ_worst,NOx_NO2eq_g_per_MJ_absolute_range,NOx_NO2eq_g_per_MJ_relative_range,N2O_g_per_MJ_median,N2O_g_per_MJ_p05,N2O_g_per_MJ_p95,N2O_g_per_MJ_worst,N2O_g_per_MJ_absolute_range,N2O_g_per_MJ_relative_range,NH3_slip_g_per_MJ_median,NH3_slip_g_per_MJ_p05,NH3_slip_g_per_MJ_p95,NH3_slip_g_per_MJ_worst,NH3_slip_g_per_MJ_absolute_range,NH3_slip_g_per_MJ_relative_range,complete_mechanism_set,emissions_only_robust_pareto
reactor_0099,primary_map,750,20,20,1.2,0.5,0.5,0.0,8,0.11187304718222316,0.07318180186049392,0.11426568695803098,0.1142695728129884,0.0590981250193741,0.5171816395611548,2.2203128639859897e-05,1.831697402320261e-05,2.3665261880679598e-05,2.3846722716327425e-05,5.548605199519244e-06,0.2326778931228237,0.0005535098807530499,0.00040993951457113,0.00057883214540777,0.0005843130012994,0.00018833096234209995,0.3223117779739421,True,True
reactor_0166,thermal_residence_sensitivity,600,5,20,0.7,0.1,0.5,2.0,8,4.374092396233812,3.8044731442589037,5.830217512399204,6.181364592113961,2.3823112309845182,0.38540215440839953,0.0002833963007722,0.000239495690389535,0.000308392893628215,0.0003157514745562,7.725344723730001e-05,0.24466535697381142,2.2424916965885193e-08,1.68804257116955e-08,2.5661231419603378e-08,2.5736690171218917e-08,1.0796619371272896e-08,0.41950302464870354,True,True
reactor_0172,thermal_residence_sensitivity,600,20,20,0.7,0.1,0.5,2.0,8,3.3466798864984124,2.3024242298393935,4.23950467262564,4.522591303826229,2.2763278749045104,0.5033238075212938,0.00062279423999555,0.00052801531624428,0.00066208482415049,0.0006641981639387,0.00013646047849710005,0.20545145395748823,4.6510554001637085e-08,3.9416500772789154e-08,4.882395499099506e-08,4.9457744633115375e-08,1.3476818771021194e-08,0.27249157580868605,True,True
reactor_0194,thermal_residence_sensitivity,600,20,20,1.0,0.3,0.5,0.0,8,1.1534411504302042,0.7576828487666337,1.2376115904618499,1.2491084037345503,0.6291276627693408,0.503661380300054,0.00018999909704105,0.00015377439861243,0.000198454823495915,0.0001986773120122,4.53258046048e-05,0.22813779865320866,2.2637638409782596e-05,1.5428916106826448e-05,2.5515002154411075e-05,2.6336310174267066e-05,1.1713709454158782e-05,0.44477413034131585,True,True
reactor_0195,thermal_residence_sensitivity,600,20,20,1.0,0.3,0.5,0.5,8,1.1530158029671234,0.7564400298629844,1.23947886167405,1.2529453097549128,0.6321617492059856,0.5045405767388538,0.0001871411943737,0.00015127517635729498,0.00019545391671511,0.0001957710150384,4.49302383075e-05,0.22950403714608644,2.248207486775976e-05,1.5287759924910397e-05,2.5488492893183466e-05,2.632734064360536e-05,1.1874737946956709e-05,0.45104205957243004,True,True
reactor_0196,thermal_residence_sensitivity,600,20,20,1.0,0.3,0.5,2.0,8,1.153025019467957,0.7541327850460919,1.246240719222208,1.2659499021426,0.641439985776815,0.5066867059203434,0.0001787864812743,0.00014394963735476,0.0001866586108999,0.0001872533461354,4.3772045706900016e-05,0.23375841666001057,2.1984789085705955e-05,1.4886516562381135e-05,2.5452162650366553e-05,2.633670732946873e-05,1.2374599651404024e-05,0.46986130409543675,True,True
reactor_0223,thermal_residence_sensitivity,750,20,20,1.2,0.5,0.5,0.5,8,0.10908515299935526,0.07113744335428832,0.11159231334811363,0.1117163112769412,0.0580527170181671,0.5196440551483682,2.149823031954732e-05,1.774266193462155e-05,2.2926857815092647e-05,2.3088485594936298e-05,5.366123836611588e-06,0.232415582847429,0.0005588862005421,0.00041364053370443,0.00058706192367511,0.0005929423060247,0.0001936324149388,0.32656198245826284,True,True
reactor_0224,thermal_residence_sensitivity,750,20,20,1.2,0.5,0.5,2.0,8,0.1014438233810955,0.06548448089614342,0.10430922389402517,0.1048007273557898,0.055292453785685695,0.5275960881261099,1.9515151956411543e-05,1.6127805411179326e-05,2.0852765632274644e-05,2.095595975003165e-05,4.852727213862865e-06,0.2315678819652026,0.0005768533397679,0.000425862810273445,0.000614831289017935,0.0006221870993385,0.00021196799787259995,0.34068208437295017,True,True
reactor_0228,thermal_residence_sensitivity,600,5,20,1.0,0.7,0.5,0.0,8,1.9030659446869904,1.2549306109936686,2.0881111429482653,2.1129541941310124,1.0888192882640113,0.5153066220215939,0.0001458125883359,0.000116362926792065,0.0001508725843572,0.0001515663898486,3.527282357219999e-05,0.23272193530131643,1.4020664856547984e-05,9.730472375488799e-06,1.6293525024529763e-05,1.6721896269593364e-05,7.5898388029722385e-06,0.453886250734218,True,True
reactor_0229,thermal_residence_sensitivity,600,5,20,1.0,0.7,0.5,0.5,8,1.9198167936448591,1.2682258870439422,2.1133757277860252,2.1281894322269643,1.0840757465698856,0.5093887462054988,0.00013887957243255,0.000110359060841755,0.00014415728750157998,0.0001446749064416,3.435734038089999e-05,0.23747961015456956,1.3836626748297806e-05,9.594348697656925e-06,1.6507911259007556e-05,1.6957835693309276e-05,8.02710018480849e-06,0.4733564076207902,True,True
reactor_0230,thermal_residence_sensitivity,600,5,20,1.0,0.7,0.5,2.0,8,1.9856162119869696,1.3320002460617792,2.228857096441898,2.241867377971082,1.1158177331690633,0.4977179935500432,0.00011985294313375,9.380030814958452e-05,0.000128322029315725,0.0001297830148895,3.608367617656251e-05,0.27803080555098,1.3544292181661238e-05,9.299699903470237e-06,1.7473837170258545e-05,1.794432935075587e-05,9.519840119816008e-06,0.5305208087598439,True,True
reactor_0236,thermal_residence_sensitivity,600,20,20,1.0,0.7,0.5,2.0,8,1.1597611714885647,0.7886096914605489,1.2033245920217461,1.2168832763395805,0.6027654355244977,0.49533545841605553,0.00022903106381185,0.000188581863623885,0.000240463447530645,0.0002412424363207,5.275776265719999e-05,0.21869188299468797,2.4884424076803866e-05,1.7668950884191842e-05,2.579155992810231e-05,2.5948104111058776e-05,8.606653880748014e-06,0.3316871954849279,True,True
reactor_0239,thermal_residence_sensitivity,750,5,20,1.0,0.7,0.5,0.5,8,1.9023177189397318,1.2837975806189579,2.047104255741974,2.092249399413275,1.0923853408247763,0.5221104812509979,0.0001815463994005,0.00014940008087482,0.000190519990936635,0.0001907802132563,4.141997790790001e-05,0.21710835311969767,1.5537965416844114e-05,1.09508952840682e-05,1.6480342998252354e-05,1.654724667580503e-05,5.892891483558925e-06,0.35612519708039186,True,True
reactor_0240,thermal_residence_sensitivity,750,5,20,1.0,0.7,0.5,2.0,8,1.8685844488152243,1.2326684358966649,2.0383227522894782,2.099072679023994,1.1240109122891373,0.5354797494728809,0.00015737679780805002,0.000128360519662045,0.000164913092903985,0.0001652051195791,3.688461196279998e-05,0.22326555046703428,1.4391884224372627e-05,1.0001301772511171e-05,1.5838225262145217e-05,1.5920231270124518e-05,6.311538520150671e-06,0.3964476654302589,True,True
