design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s,source_design_id,surrogate_m_per_s,surrogate_90_low_m_per_s,surrogate_90_high_m_per_s,surrogate_relative_error,direct_inside_surrogate_90_interval
screen_0039,direct_pareto_confirmation_reused,True,NUIG_2024,300.0,5,1.0,0.5,completed,0.2525797103775467,2158.582123781572,201,multicomponent,True,,40.80015640000056,map_0126,0.2576817430522077,0.240039806920827,0.2766202887520438,0.020199693265285246,True
screen_0046,direct_pareto_confirmation_reused,True,NUIG_2024,300.0,5,1.1,0.4,completed,0.2100626279464517,2109.205264584198,204,multicomponent,True,,42.6040782,map_0030,0.2100625895704903,0.2099997680609267,0.2101254298731322,1.826881905830338e-07,True
screen_0039,direct_pareto_confirmation_reused,True,MEI_2021,300.0,5,1.0,0.5,completed,0.2752281217760071,2157.5663380634296,208,multicomponent,True,,19.53287760000057,map_0126,0.2761887596767247,0.2586006751393676,0.2949730542298774,0.0034903333806107504,True
screen_0046,direct_pareto_confirmation_reused,True,MEI_2021,300.0,5,1.1,0.4,completed,0.2049143439353402,2113.6496401950835,185,multicomponent,True,,14.019870500000252,map_0030,0.2049142872969442,0.2048497850405862,0.2049788098635069,2.7640034813219077e-07,True
screen_0039,direct_pareto_confirmation_reused,True,RMG_2026_Burke,300.0,5,1.0,0.5,completed,0.2422040612143303,2168.692126820436,218,multicomponent,True,,191.38539169999967,map_0126,0.2430650288370096,0.2292463464000994,0.2577166841316807,0.0035547200090811156,True
screen_0046,direct_pareto_confirmation_reused,True,RMG_2026_Burke,300.0,5,1.1,0.4,completed,0.1866521047033062,2124.0623951021093,210,multicomponent,True,,156.47064530000034,map_0030,0.186652075367768,0.1865980547790587,0.1867061115955686,1.571669295650073e-07,True
screen_0030,direct_pareto_confirmation_new,True,POLIMI_2023,300.0,5,0.9,0.4,completed,0.1691965155883631,2038.77067010242,176,multicomponent,True,,16.049220799999603,,0.1702492139250755,0.1656945255429974,0.1749291037052678,0.006221749502652292,True
screen_0030,direct_pareto_confirmation_new,True,Konnov_2026,300.0,5,0.9,0.4,completed,0.1244744308222243,2040.496733962624,193,multicomponent,True,,45.99148319999949,,0.1242710611331568,0.1208243819134363,0.1278160615481157,0.0016338270255516255,True
screen_0030,direct_pareto_confirmation_new,True,MEI_2019,300.0,5,0.9,0.4,completed,0.1490699383146008,2033.5097167927515,181,multicomponent,True,,21.04923729999973,,0.1514762466184314,0.1466283418492535,0.1564844354115203,0.016142143285470905,True
screen_0030,direct_pareto_confirmation_new,True,C3_v3_5_C0,300.0,5,0.9,0.4,completed,0.141254682616559,2035.8010806677385,184,multicomponent,True,,25.566080599999623,,0.1408090174741351,0.1361506230635437,0.14562679887831,0.003155046856985721,True
screen_0030,direct_pareto_confirmation_new,True,Otomo_2018,300.0,5,0.9,0.4,completed,0.1410925898669979,2038.8492807578384,184,multicomponent,True,,18.06504219999988,,0.1430776843941653,0.1378038114079299,0.1485533931350927,0.014069445667122926,True
screen_0030,direct_pareto_confirmation_new,True,NUIG_2024,300.0,5,0.9,0.4,completed,0.1452061697133876,2038.4455984669244,201,multicomponent,True,,79.61450100000002,,0.1457641152453606,0.1409948206289224,0.1506947361505016,0.0038424368129418166,True
screen_0030,direct_pareto_confirmation_new,True,MEI_2021,300.0,5,0.9,0.4,completed,0.1533676296575957,2040.4099644181283,184,multicomponent,True,,24.35627039999963,,0.1530815768556188,0.1479660949097626,0.1583739111780571,0.0018651445720035181,True
screen_0030,direct_pareto_confirmation_new,True,RMG_2026_Burke,300.0,5,0.9,0.4,completed,0.1491965443940416,2042.330843365019,202,multicomponent,True,,199.64298299999973,,0.150030007528167,0.1457415750234159,0.1544446267668329,0.005586343420422393,True
