design_id,design_role,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,criterion,reactor,status,ignition_delay_s,final_temperature_K,max_temperature_K,integration_steps,converged,failure_reason,runtime_s
map_0073,training,True,False,POLIMI_2023,1600,10,0.8,0.3,max_dTdt,constant_volume,completed,6.559067310576979e-06,3029.041824324617,3029.0418243675113,1655,True,,0.16217800000231364
map_0074,training,True,False,POLIMI_2023,1600,10,0.9,0.1,max_dTdt,constant_volume,completed,2.9814780407728823e-05,3066.831827016713,3066.83182702885,1837,True,,0.1776958000009472
map_0075,training,True,False,POLIMI_2023,1600,20,0.8,0.0,max_dTdt,constant_volume,completed,0.00011138210994522291,3040.3212471183433,3040.321247186928,2111,True,,0.21054949999961536
map_0076,training,True,False,POLIMI_2023,1600,20,0.8,0.2,max_dTdt,constant_volume,completed,7.886965578460275e-06,3063.678133463449,3063.678133517567,1788,True,,0.19342730000062147
map_0077,training,True,False,POLIMI_2023,1600,20,1.0,0.2,max_dTdt,constant_volume,completed,7.930271656844423e-06,3169.4417461037983,3169.4417461846256,1803,True,,0.17841529999714112
map_0078,training,True,False,POLIMI_2023,1800,20,1.0,0.1,max_dTdt,constant_volume,completed,7.389678849463452e-06,3238.5587269096563,3238.558726987827,1725,True,,0.1703629000003275
map_0079,training,True,False,POLIMI_2023,1800,10,0.7,0.0,max_dTdt,constant_volume,completed,3.863645024337693e-05,3015.7491200746285,3015.8924475032113,1793,True,,0.16627109999899403
map_0080,training,True,False,POLIMI_2023,1800,10,0.7,0.2,max_dTdt,constant_volume,completed,5.686025911950587e-06,3033.904481485775,3033.904481544088,1679,True,,0.13571379999848432
map_0081,training,True,False,POLIMI_2023,1400,5,1.0,0.2,max_dTdt,constant_volume,completed,5.1835384786434494e-05,2983.1543161640734,2983.1543162422386,1796,True,,0.15903219999745488
map_0082,training,True,False,POLIMI_2023,1400,10,0.9,0.2,max_dTdt,constant_volume,completed,3.564378387541827e-05,2995.120188304453,2995.1201884378215,1988,True,,0.2495718999998644
map_0083,training,True,False,POLIMI_2023,1600,5,0.8,0.3,max_dTdt,constant_volume,completed,1.1388640916957805e-05,2979.0738364134195,2979.073836432803,1516,True,,0.18626560000120662
map_0084,training,True,False,POLIMI_2023,1600,5,1.0,0.3,max_dTdt,constant_volume,completed,1.1927398837037892e-05,3059.8467919855993,3059.8467920464773,1635,True,,0.17681879999872763
map_0085,training,True,False,POLIMI_2023,1800,5,0.9,0.2,max_dTdt,constant_volume,completed,1.0780440269410349e-05,3088.1764165129352,3088.1764165216223,1646,True,,0.15790149999884306
map_0086,training,True,False,POLIMI_2023,1800,10,0.9,0.2,max_dTdt,constant_volume,completed,5.912272598468562e-06,3152.206078667421,3152.20607876071,1696,True,,0.13783630000034464
map_0087,training,True,False,POLIMI_2023,1200,10,0.9,0.4,max_dTdt,constant_volume,completed,6.841937461188323e-05,2934.09790767262,2934.097907674917,1800,True,,0.1819290000021283
map_0088,training,True,False,POLIMI_2023,1400,5,1.3,0.4,max_dTdt,constant_volume,completed,1.7806773150355185e-05,2999.223373889003,2999.2233738925966,1668,True,,0.14890599999853293
map_0089,training,True,False,POLIMI_2023,1400,10,0.9,0.4,max_dTdt,constant_volume,completed,1.0217438728406988e-05,3018.357812373689,3018.357812388519,1643,True,,0.15779729999849224
map_0090,training,True,False,POLIMI_2023,1400,10,1.3,0.1,max_dTdt,constant_volume,completed,0.00010867664296270548,2999.699226096486,2999.699226121784,2118,True,,0.2052984000001743
map_0091,training,True,False,POLIMI_2023,1600,20,1.3,0.0,max_dTdt,constant_volume,completed,0.00011212406067514502,3126.6713349056627,3126.67133496764,2196,True,,0.21411820000139414
map_0092,training,True,False,POLIMI_2023,1800,10,1.3,0.1,max_dTdt,constant_volume,completed,1.3510263856502303e-05,3174.8635605259906,3197.536489200773,1788,True,,0.19493109999893932
map_0093,training,True,False,POLIMI_2023,1400,5,1.3,0.2,max_dTdt,constant_volume,completed,5.51301093537187e-05,2970.8873878893432,2972.308087340668,1966,True,,0.2105900999995356
map_0094,training,True,False,POLIMI_2023,1600,5,1.4,0.3,max_dTdt,constant_volume,completed,1.3366184477490816e-05,3042.905319761624,3049.6220761844397,1595,True,,0.15273969999907422
map_0095,training,True,False,POLIMI_2023,1600,10,1.3,0.2,max_dTdt,constant_volume,completed,1.3299365109860091e-05,3105.8310806528557,3105.8310807065022,1757,True,,0.1347964000015054
map_0096,training,True,False,POLIMI_2023,1800,5,1.3,0.2,max_dTdt,constant_volume,completed,1.2113922298164725e-05,3120.249277259654,3161.8652572607093,1719,True,,0.14681019999989076
map_0097,training,True,False,POLIMI_2023,1400,5,1.1,0.4,max_dTdt,constant_volume,completed,1.693556502283354e-05,3017.9040656989605,3017.90406577143,1710,True,,0.16253599999981816
map_0098,training,True,False,POLIMI_2023,1600,10,1.1,0.4,max_dTdt,constant_volume,completed,4.4079938723672055e-06,3145.5886152939947,3145.588615322847,1652,True,,0.16489050000018324
map_0099,training,True,False,POLIMI_2023,1800,10,1.1,0.1,max_dTdt,constant_volume,completed,1.286399357960877e-05,3187.053433442563,3187.053433456151,1767,True,,0.15825540000150795
