design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s,thermo_min_temperature_K,thermo_max_temperature_K,within_mechanism_thermo_range,surrogate_m_per_s,surrogate_90_low_m_per_s,surrogate_90_high_m_per_s,surrogate_log_standard_deviation,surrogate_relative_error,surrogate_log_error,surrogate_interval_covered
map_0142,interpolation_holdout,False,Konnov_2026,600,1,1.2,0.0,completed,0.3485297068021109,2163.266630155645,167,multicomponent,True,,9.57520619999923,300,3000,True,0.3580197679680652,0.3239817712146338,0.3956338462357218,0.0607300608740385,0.0272288444305915,0.026864734196564,True
map_0143,interpolation_holdout,False,Konnov_2026,750,10,1.4,0.7,completed,2.4261146090763663,2375.019762938989,194,multicomponent,True,,36.15121740000177,300,3000,True,2.290251258074796,2.1462220603885847,2.443946002569512,0.0394847513432095,0.0560003845215271,0.0576295201688455,True
map_0144,interpolation_holdout,False,Konnov_2026,750,10,0.6,0.0,completed,0.1136432564134362,1934.831129800314,167,multicomponent,True,,63.06654560000243,300,3000,True,0.1132455161985143,0.1048551078695162,0.1223073172079236,0.046795561933936,0.0034999015997474,0.0035060405834294,True
map_0121,interpolation_holdout,True,MEI_2019,300,1,1.0,0.2,completed,0.1441212305612035,2080.7713700874865,188,multicomponent,True,,6.363393499999802,300,3000,True,0.143866179084968,0.1387203552592855,0.1492028869578796,0.0221419340900129,0.0017697009333207,0.0017712687039472,True
map_0122,interpolation_holdout,True,MEI_2019,300,10,1.4,0.2,completed,0.0682193739540316,1932.680345421592,176,multicomponent,True,,10.065896299999622,300,3000,True,0.0685016290455915,0.0663739640733831,0.0706974978428562,0.0191809449320519,0.004137462354171,0.0041289265929654,True
map_0123,interpolation_holdout,True,MEI_2019,300,1,0.7,0.7,completed,0.4510998354687768,1794.2485793451017,188,multicomponent,True,,8.907778200000394,300,3000,True,0.4554122103145167,0.4312886499624683,0.4808850901167976,0.0330853362455941,0.0095596905754988,0.0095142858741239,True
map_0124,interpolation_holdout,True,MEI_2019,300,1,1.3,0.7,completed,0.9741446443443378,2006.4146743823248,198,multicomponent,True,,7.769456300000456,300,3000,True,0.983985826771132,0.9313727623784686,1.0395709928362955,0.0334054145180697,0.0101023831357383,0.0100516951569585,True
map_0125,interpolation_holdout,True,MEI_2019,450,5,1.0,0.0,completed,0.1078378751041583,2169.522430970881,182,multicomponent,True,,7.464644599998792,300,3000,True,0.1085207996322048,0.1057246238611153,0.1113909278909674,0.0158687116383774,0.0063328819061666,0.00631291347037,True
map_0126,interpolation_holdout,True,MEI_2019,300,5,1.0,0.5,completed,0.2624550344244141,2154.7325592509856,209,multicomponent,True,,13.540033100000072,300,3000,True,0.2640352234228564,0.2502401334031781,0.2785908010032748,0.0326209883555745,0.006020798960507,0.0060027463748651,True
map_0127,interpolation_holdout,True,MEI_2019,450,1,1.4,0.05,completed,0.1679109466738124,1976.3356555992864,143,multicomponent,True,,2.6159318999998504,300,3000,True,0.1675426306075746,0.1623314188982066,0.1729211341921949,0.0192083822872905,0.0021935202768719,0.002195929566336,True
map_0128,interpolation_holdout,True,MEI_2019,300,5,0.7,0.2,completed,0.0364128538923374,1755.4651948257776,193,multicomponent,True,,15.12814619999972,300,3000,True,0.0357938375658438,0.0344319999331006,0.0372095379350403,0.0235801707969896,0.0169999398652954,0.0171460976602983,True
map_0129,interpolation_holdout,True,MEI_2019,300,1,0.6,0.05,completed,0.0149312390727316,1590.2989934989405,188,multicomponent,True,,8.587208799999644,300,3000,True,0.0146326156427587,0.0142288437739756,0.0150478453449827,0.0170102305185243,0.0199999094862958,0.0202026149566011,True
map_0130,interpolation_holdout,True,MEI_2019,450,1,1.0,0.5,completed,1.052509716228475,2187.747825755675,177,multicomponent,True,,4.98378750000029,300,3000,True,1.0551885389898237,1.0081376271021618,1.1044353696190805,0.0277293408824021,0.0025451762772774,0.0025419428014847,True
