design_id,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,design_role,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3,EI_g_per_MJ_NOx_NO2eq
reactor_0245,750,10,10,0.7,0.1,0.3,0.0,psr_fraction_sensitivity,Konnov_2026,completed,0.1553569000025163,0.01,300.0,2083.049102920344,2088.130763926989,560,589,True,,0.4954432931427264,969910.1904060123,0.0056153811965363,1.2476793691964288e-05,7.296344153088196e-07,3.7905198541825106e-10,0.0001879962233469,0.0471505895905171,0.2348328942815957,0.0073387645059102,1.630597238004633e-05,9.5356218250362e-07,4.95384580159604e-10,0.0002456930282835,0.0616212971495267,0.0065215408712695,2.221625752726471e-05,1.2429371089218189e-06,2.498629118034613e-10,1.466906809662595e-05,0.0583946196243265,0.1637404838098817,3.3312916160558155,0.0113483659616024,0.0006349091498417,1.276333675866595e-07,0.0029379218128144,6.52775707626364e-06,3.817387972588803e-07,1.9831691868716143e-10,5.118901044998725
reactor_0246,750,10,10,0.7,0.1,0.5,0.0,psr_fraction_sensitivity,Konnov_2026,completed,0.1542057000006025,0.01,300.0,2085.3454868401204,2088.747088055184,530,557,True,,0.2972659758856358,581946.1142436073,0.0053287799990782,1.184655815368256e-05,7.30900081994353e-07,3.793163883824632e-10,0.0001885148159334,0.047291939536466,0.2348281171499717,0.0069641607572277,1.5482218334471205e-05,9.552103238189786e-07,4.957270345188678e-10,0.000246369240897,0.0618056421000706,0.0061887072822972,2.109411317778612e-05,1.2450965464931342e-06,2.5003787648181517e-10,1.470957287624556e-05,0.0585698357120453,0.1637375955250444,3.161275700128673,0.0107751593932144,0.0006360122198705,1.2772274191975218e-07,0.0027914486026412,6.205746570495685e-06,3.828775090933481e-07,1.9870255527387467e-10,4.8576586005025115
reactor_0247,750,10,10,0.7,0.1,0.7,0.0,psr_fraction_sensitivity,Konnov_2026,completed,0.1340589000028558,0.01,300.0,2086.4974746963044,2089.065491631054,520,535,True,,0.2123328399183113,415675.7958882911,0.0051806948125537,1.1520627118087164e-05,7.315682969818238e-07,3.7939565195622524e-10,0.0001887834171528,0.0473649721063109,0.2348256444185747,0.0067706069535186,1.505621174318251e-05,9.560805215772483e-07,4.958290214364774e-10,0.0002467194774312,0.0619008880274354,0.0060167333958817,2.05137854576679e-05,1.2462366022020333e-06,2.5009047543086557e-10,1.4730552103273284e-05,0.0586603667349058,0.1637361004993606,3.0734291041623587,0.0104787201150199,0.0006365945758045,1.2774961017703121e-07,0.00271562353369,6.038897726408084e-06,3.834744480549853e-07,1.98872120113195e-10,4.72267532852269
reactor_0248,750,10,10,1.0,0.3,0.3,0.0,psr_fraction_sensitivity,Konnov_2026,completed,0.1507773000012093,0.01,300.0,2423.3106160976336,2439.776982182256,600,581,True,,0.4062239073300784,1118805.9718901322,0.0029426236432145,8.773887528946613e-07,3.342322322458617e-07,9.683977358255793e-08,0.0090999603134579,0.0021123296601915,0.2978846649675716,0.0041910829978932,1.2496362194597812e-06,4.760360806396924e-07,1.3792573491944206e-07,0.0129607770396265,0.0030085223250308,0.0035674065214153,1.630823176677941e-06,5.94345635922752e-07,6.663519779399726e-08,0.0007412074962495,0.0027308277547201,0.2168164302457121,1.2952789425282556,0.0005921306997274,0.0002157991757241,2.4194374264788404e-05,0.0012004083842044,3.5792032651206205e-07,1.3634607156932254e-07,3.9504636075708465e-08,1.9865201716808498
reactor_0249,750,10,10,1.0,0.3,0.7,0.0,psr_fraction_sensitivity,Konnov_2026,completed,0.1418362000003981,0.01,300.0,2428.3851623708374,2436.8562698426567,600,464,True,,0.1740959602843193,479488.27366719954,0.0037108515226397,1.0580444639787033e-06,3.398317751887564e-07,1.1752027717382513e-07,0.009400278951073,0.0019186696321555,0.2976159993037474,0.0052832233065691,1.506361851821646e-06,4.838261903060024e-07,1.673162786414992e-07,0.0133833899145692,0.0027316533836955,0.0044992563051996,1.966835350417351e-06,6.043715427794209e-07,8.087457420678237e-08,0.0007657558447561,0.0024807447847761,0.2166454597917597,1.6336214878169886,0.0007141323528794,0.0002194394521975,2.936450677183347e-05,0.0015111876359168,4.308724567555726e-07,1.3839130286506958e-07,4.785833891523589e-08,2.505390626724506
reactor_0250,750,10,10,1.2,0.5,0.3,0.0,psr_fraction_sensitivity,Konnov_2026,completed,0.1447184999997262,0.01,300.0,2403.690667931828,2417.642318898604,540,596,True,,0.3913100891787624,1292541.8452067203,0.000422349392525,1.732009347557913e-08,4.626942825399802e-08,1.8982198147022096e-06,0.0579093712566776,3.805140346009175e-05,0.2850205860400076,0.0005907154587652,2.4224604425531475e-08,6.4714350302381e-08,2.65492932752946e-06,0.0809944595970116,5.322027839842249e-05,0.0005367967203872,3.3750883167036646e-08,8.6259111377963e-08,1.3693564962943013e-06,0.004945033663818,5.1573117995824926e-05,0.2174905393062932,0.1625123188889953,1.0217898283860087e-05,2.611448185678902e-05,0.000414565311498,0.0001667994697672,6.840266516721035e-09,1.8273297501534776e-08,7.496685545139517e-07,0.24917490396703898
reactor_0251,750,10,10,1.2,0.5,0.7,0.0,psr_fraction_sensitivity,Konnov_2026,completed,0.1528830999995989,0.01,300.0,2406.969106818048,2415.42694236082,540,491,True,,0.1677043239337553,553946.5050885945,0.000717659591458,2.9011172305713854e-08,6.425434084920233e-08,2.819000710236858e-06,0.0581869832075533,3.6791157928441646e-05,0.2847126331803343,0.0010033164637716,4.0558765122197374e-08,8.983010721256286e-08,3.941074372347428e-06,0.0813477015066913,5.1435492411985005e-05,0.0009122474893367,5.654007650706669e-08,1.198035046750847e-07,2.0338616739321584e-06,0.0049693827397724,4.987149289933682e-05,0.2172836673369599,0.2761780190941465,1.711720395142475e-05,3.626986644354091e-05,0.0006157406786906,0.0002833025989052,1.1452422024764588e-08,2.5364980793389172e-08,1.1128259651673945e-06,0.42345461349423097
reactor_0252,750,10,10,1.0,0.7,0.3,0.0,psr_fraction_sensitivity,Konnov_2026,completed,0.1630745000002207,0.01,300.0,2502.555844318226,2520.4573556500827,610,564,True,,0.392808157101527,1141993.9947065886,0.002955963258129,9.468328206866972e-07,4.308735882310341e-07,1.078047438844042e-07,0.0114169322914321,0.0028936055532417,0.2940269230427812,0.0041870764687931,1.3411741206443688e-06,6.103258074488081e-07,1.5270376081344112e-07,0.0161719089071211,0.0040987477393802,0.0035903417991816,1.763222006183587e-06,7.676433710694408e-07,7.432016750096e-08,0.0009316839455296,0.0037479243992616,0.2144124622970196,1.2349588106752565,0.0006064900428725,0.0002640439260615,2.556367911464331e-05,0.0012056417856567,3.861824769004876e-07,1.7573939759859797e-07,4.3970067476862265e-08,1.8940514083934916
reactor_0253,750,10,10,1.0,0.7,0.7,0.0,psr_fraction_sensitivity,Konnov_2026,completed,0.1654002999966906,0.01,300.0,2508.756604245797,2518.2860618836244,580,426,True,,0.1683463530435116,489425.9977313953,0.0035883703385897,1.1179675616237026e-06,4.352566572939101e-07,1.25493645014054e-07,0.011637561224613,0.0027249296418425,0.2938437224511827,0.005081552699702,1.5831730130678e-06,6.163744076661846e-07,1.7771370021613737e-07,0.0164801497835704,0.0038588195396367,0.0043587973635555,2.082071090171172e-06,7.755105506874668e-07,8.65213324675592e-08,0.000949759886508,0.0035297134004238,0.2142949812151373,1.4992821043662037,0.00071616358026,0.0002667499756043,2.976047624951172e-05,0.0014614891491294,4.553313360164078e-07,1.7727347561662024e-07,5.1111669969053375e-08,2.299422854966991
reactor_0001,750,10,10,1.0,0.3,0.5,0.0,primary_map,MEI_2019,completed,0.1093606000004001,0.01,300.0,2416.164505576262,2438.8861453023155,700,588,True,,0.2437509622335157,671366.3736701926,0.0032159152875901,8.622138784738706e-07,3.208770109972424e-07,1.1279858683119565e-07,0.0091814593456959,0.002055645187828,0.2978434395502973,0.0045800544618289,1.2279510397533817e-06,4.569878415601981e-07,1.6064592027588937e-07,0.0130760856806857,0.0029276165795723,0.0038987903375295,1.60264458351695e-06,5.706065481832174e-07,7.761773828370465e-08,0.0007478584744231,0.0026575911318798,0.2167901175913845,1.4155220362383083,0.0005818673300764,0.0002071683966178,2.818043788760906e-05,0.0013113024111367,3.515711816543572e-07,1.308388936184787e-07,4.599407809507541e-08,2.1708672105823315
