design_id,pressure_bar,equivalence_ratio,cracking_ratio,support_tier,screening_pareto,exploratory_extrapolative_pareto,reactivity_improved
screen_0147,20,0.6,0.1,extrapolative,False,False,True
screen_0148,20,0.6,0.2,extrapolative,False,False,True
screen_0149,20,0.6,0.3,extrapolative,False,False,True
screen_0150,20,0.6,0.4,extrapolative,False,False,True
screen_0151,20,0.6,0.5,extrapolative,False,False,True
screen_0152,20,0.6,0.7,extrapolative,False,False,True
screen_0153,20,0.7,0.0,extrapolative,False,False,False
screen_0154,20,0.7,0.05,extrapolative,False,False,True
screen_0155,20,0.7,0.1,extrapolative,False,False,True
screen_0156,20,0.7,0.2,extrapolative,False,False,True
screen_0157,20,0.7,0.3,extrapolative,False,False,True
screen_0158,20,0.7,0.4,extrapolative,False,False,True
screen_0159,20,0.7,0.5,extrapolative,False,False,True
screen_0160,20,0.7,0.7,extrapolative,False,False,True
screen_0161,20,0.8,0.0,extrapolative,False,False,False
screen_0162,20,0.8,0.05,extrapolative,False,False,True
screen_0163,20,0.8,0.1,extrapolative,False,True,True
screen_0164,20,0.8,0.2,extrapolative,False,True,True
screen_0165,20,0.8,0.3,extrapolative,False,False,True
screen_0166,20,0.8,0.4,extrapolative,False,False,True
screen_0167,20,0.8,0.5,extrapolative,False,False,True
screen_0168,20,0.8,0.7,extrapolative,False,False,True
screen_0169,20,0.9,0.0,extrapolative,False,False,False
screen_0170,20,0.9,0.05,extrapolative,False,False,True
screen_0171,20,0.9,0.1,extrapolative,False,True,True
screen_0172,20,0.9,0.2,extrapolative,False,True,True
screen_0173,20,0.9,0.3,extrapolative,False,True,True
screen_0174,20,0.9,0.4,extrapolative,False,True,True
screen_0175,20,0.9,0.5,extrapolative,False,False,True
screen_0176,20,0.9,0.7,extrapolative,False,True,True
screen_0177,20,1.0,0.0,extrapolative,False,False,False
screen_0178,20,1.0,0.05,extrapolative,False,False,True
screen_0179,20,1.0,0.1,extrapolative,False,False,True
screen_0180,20,1.0,0.2,extrapolative,False,False,True
screen_0181,20,1.0,0.3,extrapolative,False,False,True
screen_0182,20,1.0,0.4,extrapolative,False,False,True
screen_0183,20,1.0,0.5,extrapolative,False,False,True
screen_0184,20,1.0,0.7,extrapolative,False,True,True
screen_0185,20,1.1,0.0,extrapolative,False,False,False
screen_0186,20,1.1,0.05,extrapolative,False,False,True
screen_0187,20,1.1,0.1,extrapolative,False,False,True
screen_0188,20,1.1,0.2,extrapolative,False,False,True
screen_0189,20,1.1,0.3,extrapolative,False,False,True
screen_0190,20,1.1,0.4,extrapolative,False,False,True
screen_0191,20,1.1,0.5,extrapolative,False,False,True
screen_0192,20,1.1,0.7,extrapolative,False,True,True
screen_0193,20,1.2,0.0,extrapolative,False,False,False
screen_0194,20,1.2,0.05,extrapolative,False,False,True
screen_0195,20,1.2,0.1,extrapolative,False,False,True
screen_0196,20,1.2,0.2,extrapolative,False,False,True
screen_0197,20,1.2,0.3,extrapolative,False,False,True
screen_0198,20,1.2,0.4,extrapolative,False,False,True
screen_0199,20,1.2,0.5,extrapolative,False,False,True
screen_0200,20,1.2,0.7,extrapolative,False,False,True
screen_0201,20,1.3,0.0,extrapolative,False,False,False
screen_0202,20,1.3,0.05,extrapolative,False,False,True
screen_0203,20,1.3,0.1,extrapolative,False,False,True
screen_0204,20,1.3,0.2,extrapolative,False,False,True
screen_0205,20,1.3,0.3,extrapolative,False,False,True
screen_0206,20,1.3,0.4,extrapolative,False,False,True
screen_0207,20,1.3,0.5,extrapolative,False,False,True
screen_0208,20,1.3,0.7,extrapolative,False,False,True
screen_0209,20,1.4,0.0,extrapolative,False,False,False
screen_0210,20,1.4,0.05,extrapolative,False,False,True
screen_0211,20,1.4,0.1,extrapolative,False,False,True
screen_0212,20,1.4,0.2,extrapolative,False,False,True
screen_0213,20,1.4,0.3,extrapolative,False,False,True
screen_0214,20,1.4,0.4,extrapolative,False,False,True
screen_0215,20,1.4,0.5,extrapolative,False,False,True
screen_0216,20,1.4,0.7,extrapolative,False,False,True
screen_0217,5,0.6,0.0,extrapolative,False,False,False
screen_0218,5,0.6,0.05,extrapolative,False,False,True
screen_0219,5,0.6,0.1,extrapolative,False,False,True
screen_0220,5,0.6,0.2,extrapolative,False,False,True
screen_0221,5,0.6,0.3,extrapolative,False,False,True
screen_0222,5,0.6,0.4,extrapolative,False,True,True
screen_0223,5,0.6,0.5,extrapolative,False,True,True
screen_0224,5,0.6,0.7,extrapolative,False,True,True
screen_0225,5,0.7,0.0,extrapolative,False,False,False
screen_0226,5,0.7,0.05,extrapolative,False,False,True
screen_0227,5,0.7,0.1,extrapolative,False,False,True
screen_0228,5,0.7,0.2,extrapolative,False,False,True
screen_0229,5,0.7,0.3,extrapolative,False,False,True
screen_0230,5,0.7,0.4,extrapolative,False,False,True
screen_0231,5,0.7,0.5,extrapolative,False,False,True
screen_0232,5,0.7,0.7,extrapolative,False,True,True
screen_0233,5,0.8,0.0,extrapolative,False,False,False
screen_0234,5,0.8,0.05,extrapolative,False,False,True
screen_0235,5,0.8,0.1,extrapolative,False,False,True
screen_0236,5,0.8,0.2,extrapolative,False,False,True
screen_0237,5,0.8,0.3,extrapolative,False,False,True
screen_0238,5,0.8,0.4,extrapolative,False,False,True
screen_0239,5,0.8,0.5,extrapolative,False,True,True
screen_0240,5,0.8,0.7,extrapolative,False,True,True
