sample_index,dataset_id,held_out_campaign,observed,stacked,equal_weight,best_single,best_single_name,stacking_success,weight_C3_v3_5_C0,weight_Konnov_2026,weight_MEI_2019,weight_MEI_2021,weight_NUIG_2024,weight_Otomo_2018,weight_POLIMI_2023,weight_RMG_2026_Burke,residual_interval_level,residual_log_half_width,residual_interval_low,residual_interval_high,residual_interval_covered,campaign_id,doi,experimental_m_per_s,temperature_K,pressure_Pa,equivalence_ratio,cracking_ratio,apparatus,relative_error_stacked,signed_relative_residual_stacked,relative_error_equal_weight,signed_relative_residual_equal_weight,relative_error_best_single,signed_relative_residual_best_single
10,x20100012:gdg1:p1:laminar burning velocity,campaign_b5091ed74b6b,0.069,0.065118008058942,0.0695475028752053,0.065238038266613,MEI_2021,True,0.0,8.004663773938028e-17,0.0,0.9069781228845448,1.0700369854345595e-16,0.0930218771154547,0.0,1.9820912931971924e-17,0.9,0.4139060325099506,0.0430471101103483,0.0985049858792978,True,campaign_b5091ed74b6b,10.1016/j.ijhydene.2015.04.024,0.069,298.0,100000.0,1.0,0.0,outwardly propagating spherical flame; constant volume combustion chamber,0.0562607527689556,-0.0562607527689556,0.0079348242783387,0.0079348242783387,0.0545211845418407,-0.0545211845418407
11,x20100012:gdg1:p7:laminar burning velocity,campaign_b5091ed74b6b,0.637,0.6117555767545518,0.5860824256260775,0.617394104116655,MEI_2021,True,0.0,8.004663773938028e-17,0.0,0.9069781228845448,1.0700369854345595e-16,0.0930218771154547,0.0,1.9820912931971924e-17,0.9,0.4139060325099506,0.404409017691944,0.9254118214924992,True,campaign_b5091ed74b6b,10.1016/j.ijhydene.2015.04.024,0.637,298.0,100000.0,1.0,0.5,outwardly propagating spherical flame; constant volume combustion chamber,0.0396301777793534,-0.0396301777793534,0.0799333977612598,-0.0799333977612598,0.0307784864730691,-0.0307784864730691
12,x20100012:gdg1:p9:laminar burning velocity,campaign_b5091ed74b6b,2.108,2.1168327265856237,2.077984009594608,2.1159588737217634,MEI_2021,True,0.0,8.004663773938028e-17,0.0,0.9069781228845448,1.0700369854345595e-16,0.0930218771154547,0.0,1.9820912931971924e-17,0.9,0.4139060325099506,1.399359934106693,3.2021645633326217,True,campaign_b5091ed74b6b,10.1016/j.ijhydene.2015.04.024,2.108,298.0,100000.0,1.0,1.0,outwardly propagating spherical flame; constant volume combustion chamber,0.00419009800077,0.00419009800077,0.0142390846325389,-0.0142390846325389,0.0037755567940053,0.0037755567940053
13,x20100013:gdg1:p5:laminar burning velocity,campaign_b5091ed74b6b,0.092,0.0854196242961795,0.089539103947076,0.0855103280871295,MEI_2021,True,0.0,8.004663773938028e-17,0.0,0.9069781228845448,1.0700369854345595e-16,0.0930218771154547,0.0,1.9820912931971924e-17,0.9,0.4139060325099506,0.0564677588008205,0.1292155447613486,True,campaign_b5091ed74b6b,10.1016/j.ijhydene.2015.04.024,0.092,298.0,300000.0,1.0,0.1428578061233175,outwardly propagating spherical flame; constant volume combustion chamber,0.0715258228676136,-0.0715258228676136,0.0267488701404773,-0.0267488701404773,0.0705399120964185,-0.0705399120964185
14,x20100013:gdg1:p7:laminar burning velocity,campaign_b5091ed74b6b,0.425,0.4188869528888729,0.3914779851152061,0.4231487972540684,MEI_2021,True,0.0,8.004663773938028e-17,0.0,0.9069781228845448,1.0700369854345595e-16,0.0930218771154547,0.0,1.9820912931971924e-17,0.9,0.4139060325099506,0.2769106937127734,0.633656566122101,True,campaign_b5091ed74b6b,10.1016/j.ijhydene.2015.04.024,0.425,298.0,300000.0,1.0,0.5,outwardly propagating spherical flame; constant volume combustion chamber,0.0143836402614753,-0.0143836402614753,0.0788753291406913,-0.0788753291406913,0.0043557711668978,-0.0043557711668978
15,x20100020:gdg1:p9:laminar burning velocity,campaign_bc661b9f179a,0.158,0.1596668389058138,0.167609005731292,0.1620693897851985,MEI_2021,True,6.970126439917071e-17,0.0,0.0,0.9196528593570557,0.0,0.0803471406429443,0.0,0.0,0.9,0.3784974272872539,0.1093541786795079,0.2331278031989131,True,campaign_bc661b9f179a,10.1016/j.combustflame.2019.05.003,0.158,298.0,101325.0,1.1,0.1818173931525685,heat flux burner; premixed,0.0105496133279357,0.0105496133279357,0.0608164919702025,0.0608164919702025,0.0257556315518892,0.0257556315518892
16,x20100022:gdg1:p19:laminar burning velocity,campaign_bc661b9f179a,0.147,0.1473051537106269,0.1656593234494284,0.1490080282599729,MEI_2021,True,6.970126439917071e-17,0.0,0.0,0.9196528593570557,0.0,0.0803471406429443,0.0,0.0,0.9,0.3784974272872539,0.1008877874057901,0.215078642000886,True,campaign_bc661b9f179a,10.1016/j.combustflame.2019.05.003,0.147,298.0,101325.0,1.6,0.3076912658506441,heat flux burner; premixed,0.0020758755824964,0.0020758755824964,0.1269341731253635,0.1269341731253635,0.0136600561902918,0.0136600561902918
17,x20100022:gdg1:p1:laminar burning velocity,campaign_bc661b9f179a,0.13,0.1410588823452211,0.1432722005116497,0.1427774951082787,MEI_2021,True,6.970126439917071e-17,0.0,0.0,0.9196528593570557,0.0,0.0803471406429443,0.0,0.0,0.9,0.3784974272872539,0.0966097802776085,0.2059585295744082,True,campaign_bc661b9f179a,10.1016/j.combustflame.2019.05.003,0.13,298.0,101325.0,0.7,0.3076932701350644,heat flux burner; premixed,0.0850683257324699,0.0850683257324699,0.1020938500896135,0.1020938500896135,0.098288423909836,0.098288423909836
18,x20100023:gdg1:p15:laminar burning velocity,campaign_aacd4964efeb,0.354,0.3671490031000204,0.3817864297877884,0.372038527881052,MEI_2021,True,2.530793115951986e-17,0.0,0.0,0.9124343998975382,0.0,0.0875656001024618,0.0,2.2446492084992566e-17,0.9,0.4134024339141343,0.2428309044715275,0.5551121706304241,True,campaign_aacd4964efeb,10.1016/j.combustflame.2020.08.004,0.354,298.0,100000.0,1.6,0.5,heat flux burner; premixed,0.0371440765537301,0.0371440765537301,0.0784927395135265,0.0784927395135265,0.0509562934492995,0.0509562934492995
19,x20100023:gdg1:p1:laminar burning velocity,campaign_aacd4964efeb,0.239,0.2148012534520033,0.2062570303672372,0.2166925072967036,MEI_2021,True,2.530793115951986e-17,0.0,0.0,0.9124343998975382,0.0,0.0875656001024618,0.0,2.2446492084992566e-17,0.9,0.4134024339141343,0.1420687029433606,0.3247694779260884,True,campaign_aacd4964efeb,10.1016/j.combustflame.2020.08.004,0.239,298.0,100000.0,0.6,0.5000012004023748,heat flux burner; premixed,0.1012499855564713,-0.1012499855564713,0.1369998729404301,-0.1369998729404301,0.0933367895535413,-0.0933367895535413
20,x20100024:gdg1:p15:laminar burning velocity,campaign_aacd4964efeb,0.25,0.2680971155682612,0.2753086777761238,0.2709544311986736,MEI_2021,True,2.530793115951986e-17,0.0,0.0,0.9124343998975382,0.0,0.0875656001024618,0.0,2.2446492084992566e-17,0.9,0.4134024339141343,0.1773183762177152,0.4053503359841884,True,campaign_aacd4964efeb,10.1016/j.combustflame.2020.08.004,0.25,298.0,300000.0,1.6,0.5,heat flux burner; premixed,0.0723884622730448,0.0723884622730448,0.1012347111044953,0.1012347111044953,0.0838177247946942,0.0838177247946942
21,x20100024:gdg1:p1:laminar burning velocity,campaign_aacd4964efeb,0.141,0.1234030963421655,0.1160252864380958,0.1242907889355009,MEI_2021,True,2.530793115951986e-17,0.0,0.0,0.9124343998975382,0.0,0.0875656001024618,0.0,2.2446492084992566e-17,0.9,0.4134024339141343,0.0816183218430028,0.1865797267447655,True,campaign_aacd4964efeb,10.1016/j.combustflame.2020.08.004,0.141,298.0,300000.0,0.6,0.5000012004023748,heat flux burner; premixed,0.1248007351619462,-0.1248007351619462,0.1771256280986108,-0.1771256280986108,0.1185050430106318,-0.1185050430106318
22,x20100026:gdg1:p7:laminar burning velocity,campaign_aacd4964efeb,0.195,0.1995685585039132,0.1989912243941128,0.2019870941115738,MEI_2021,True,2.530793115951986e-17,0.0,0.0,0.9124343998975382,0.0,0.0875656001024618,0.0,2.2446492084992566e-17,0.9,0.4134024339141343,0.131993858505404,0.3017383535439209,True,campaign_aacd4964efeb,10.1016/j.combustflame.2020.08.004,0.195,298.0,300000.0,1.1,0.3076929847079101,heat flux burner; premixed,0.0234285051482731,0.0234285051482731,0.0204678174057065,0.0204678174057065,0.0358312518542246,0.0358312518542246
